date,open,high,low,close,volume,market cap,average
2017-07-23,555.89,578.97,411.78,413.06,85013,-,495.38
2017-07-24,412.58,578.89,409.21,440.70,190952,-,494.05
2017-07-25,441.35,541.66,338.09,406.90,524908,-,439.88
2017-07-26,407.08,486.16,321.79,365.82,1784640,-,403.98
2017-07-27,417.10,460.97,367.78,385.48,533207,-,414.38
2017-07-28,386.65,465.18,217.06,406.05,1230160,-,341.12
2017-07-29,410.56,423.73,323.73,384.77,737815,-,373.73
2017-07-30,385.14,385.14,316.25,345.66,606695,-,350.69
2017-07-31,346.36,347.82,266.19,294.46,1075960,-,307.00
2017-08-01,294.60,426.11,210.38,380.01,65988800,-,318.25
2017-08-02,382.38,756.93,309.33,452.66,416207000,6302360000,533.13
2017-08-03,448.49,519.28,364.05,364.05,161518000,7392030000,441.66
2017-08-04,362.18,386.93,233.05,233.05,185038000,5969720000,309.99
2017-08-05,231.11,273.04,200.98,213.15,144043000,3809330000,237.01
2017-08-06,212.18,223.70,203.44,220.66,107606000,3497290000,213.57
2017-08-07,223.76,373.87,223.76,319.69,346546000,3688360000,298.81
2017-08-08,321.35,386.29,309.61,345.49,274880000,5297390000,347.95
2017-08-09,345.28,349.32,298.61,303.89,165032000,5691960000,323.97
2017-08-10,305.21,311.68,274.68,275.95,136637000,5031790000,293.18
2017-08-11,275.88,351.16,275.02,328.24,233971000,4548600000,313.09
2017-08-12,327.82,341.85,313.70,317.09,126007000,5405200000,327.77
2017-08-13,316.29,317.47,298.05,298.05,120722000,5215330000,307.76
2017-08-14,296.10,327.39,293.50,297.68,174968000,4882720000,310.44
2017-08-15,298.19,306.52,292.88,297.86,133924000,4917480000,299.70
2017-08-16,297.97,307.62,290.21,300.21,106436000,4914350000,298.91
2017-08-17,301.02,460.53,293.10,460.53,744605000,4964980000,376.81
2017-08-18,458.67,764.07,458.67,690.24,3087490000,7565590000,611.37
2017-08-19,697.04,1091.97,625.16,754.56,3196230000,11498100000,858.57
2017-08-20,772.42,858.96,683.94,712.87,1494020000,12742600000,771.45
2017-08-21,723.70,756.59,573.47,599.63,1123400000,11943100000,665.03
2017-08-22,596.19,734.88,570.27,690.88,1393260000,9844620000,652.58
2017-08-23,690.96,715.67,651.32,669.40,501983000,11416800000,683.50
2017-08-24,670.03,697.32,617.31,628.11,407177000,11071100000,657.32
2017-08-25,627.06,665.41,624.30,641.05,348632000,10365600000,644.86
2017-08-26,641.88,646.93,622.36,625.32,193414000,10616100000,634.64
2017-08-27,625.89,654.87,589.63,620.90,402718000,10357000000,622.25
2017-08-28,619.70,626.88,595.52,596.18,216273000,10254800000,611.20
2017-08-29,596.13,599.30,528.32,552.93,370017000,9866110000,563.81
2017-08-30,549.32,604.69,535.92,575.21,443856000,9092300000,570.31
2017-08-31,576.25,603.69,572.14,588.17,298144000,9538750000,587.91
2017-09-01,588.40,645.52,586.73,622.17,393839000,9740460000,616.12
2017-09-02,621.96,642.05,560.58,575.90,350478000,10297000000,601.32
2017-09-03,578.27,617.41,563.59,607.43,344862000,9574520000,590.50
2017-09-04,608.26,608.26,500.75,517.24,328957000,10072200000,554.50
2017-09-05,514.90,550.95,458.78,541.71,338978000,8527100000,504.87
2017-09-06,541.28,642.69,539.96,638.18,693240000,8964700000,591.33
2017-09-07,636.85,707.98,603.50,652.86,1082380000,10548500000,655.74
2017-09-08,654.37,687.30,557.50,583.10,809763000,10840500000,622.40
2017-09-09,584.73,586.18,539.15,547.47,234578000,9688150000,562.66
