date,open,high,low,close,volume,market cap,average
2017-10-01,0.02,0.03,0.02,0.02,50068700,-,0.02
2017-10-02,0.02,0.03,0.02,0.03,57641300,-,0.03
2017-10-03,0.03,0.03,0.02,0.02,16997800,624651000,0.02
2017-10-04,0.02,0.02,0.02,0.02,9000050,540946000,0.02
2017-10-05,0.02,0.02,0.02,0.02,5562510,569134000,0.02
2017-10-06,0.02,0.02,0.02,0.02,7780710,553774000,0.02
2017-10-07,0.02,0.02,0.02,0.02,7411240,477417000,0.02
2017-10-08,0.02,0.02,0.02,0.02,7727460,542638000,0.02
2017-10-09,0.02,0.02,0.02,0.02,4663310,527469000,0.02
2017-10-10,0.02,0.02,0.02,0.02,2725600,573302000,0.02
2017-10-11,0.02,0.02,0.02,0.02,3606720,556914000,0.02
2017-10-12,0.02,0.03,0.02,0.03,8680640,584358000,0.02
2017-10-13,0.03,0.03,0.03,0.03,15613600,675684000,0.03
2017-10-14,0.03,0.04,0.03,0.03,27853200,878314000,0.03
2017-10-15,0.03,0.03,0.03,0.03,7104990,852317000,0.03
2017-10-16,0.03,0.03,0.03,0.03,6196030,776227000,0.03
2017-10-17,0.03,0.03,0.03,0.03,7039900,750659000,0.03
2017-10-18,0.03,0.03,0.02,0.03,2336180,705718000,0.03
2017-10-19,0.03,0.03,0.03,0.03,2897720,692370000,0.03
2017-10-20,0.03,0.03,0.03,0.03,8716410,699574000,0.03
2017-10-21,0.03,0.03,0.03,0.03,5344520,798697000,0.03
2017-10-22,0.03,0.03,0.03,0.03,2930210,740608000,0.03
2017-10-23,0.03,0.03,0.02,0.03,3517050,717768000,0.03
2017-10-24,0.03,0.03,0.02,0.03,7589560,656966000,0.03
2017-10-25,0.03,0.03,0.03,0.03,2561430,701019000,0.03
2017-10-26,0.03,0.03,0.03,0.03,2437710,710649000,0.03
2017-10-27,0.03,0.03,0.03,0.03,2511440,703611000,0.03
2017-10-28,0.03,0.03,0.03,0.03,1739460,682882000,0.03
2017-10-29,0.03,0.03,0.03,0.03,4746180,669716000,0.03
2017-10-30,0.03,0.03,0.03,0.03,3781270,734193000,0.03
2017-10-31,0.03,0.03,0.03,0.03,7304450,740140000,0.03
2017-11-01,0.03,0.03,0.02,0.02,9382780,755165000,0.03
2017-11-02,0.02,0.02,0.02,0.02,6165050,598375000,0.02
2017-11-03,0.02,0.02,0.02,0.02,2836080,555312000,0.02
2017-11-04,0.02,0.02,0.02,0.02,2626920,587012000,0.02
2017-11-05,0.02,0.02,0.02,0.02,2396230,571799000,0.02
2017-11-06,0.02,0.02,0.02,0.02,4591160,543879000,0.02
2017-11-07,0.02,0.02,0.02,0.02,2539540,566399000,0.02
2017-11-08,0.02,0.03,0.02,0.03,6367000,568104000,0.02
2017-11-09,0.03,0.04,0.03,0.03,18716200,652327000,0.03
2017-11-10,0.03,0.03,0.03,0.03,6766780,835352000,0.03
2017-11-11,0.03,0.03,0.03,0.03,5532220,697209000,0.03
2017-11-12,0.03,0.03,0.02,0.02,7280250,712489000,0.03
2017-11-13,0.02,0.03,0.02,0.03,4419440,631690000,0.02
2017-11-14,0.03,0.03,0.03,0.03,3033290,668839000,0.03
2017-11-15,0.03,0.03,0.03,0.03,6858800,677107000,0.03
2017-11-16,0.03,0.03,0.03,0.03,4888130,689223000,0.03
2017-11-17,0.03,0.03,0.03,0.03,3578870,703728000,0.03
2017-11-18,0.03,0.03,0.02,0.03,2930550,663650000,0.03
2017-11-19,0.03,0.03,0.03,0.03,4725050,680390000,0.03
2017-11-20,0.03,0.03,0.03,0.03,16172400,729895000,0.03
2017-11-21,0.03,0.03,0.03,0.03,5836790,767098000,0.03
2017-11-22,0.03,0.03,0.03,0.03,4938480,736311000,0.03
2017-11-23,0.03,0.03,0.03,0.03,5132300,739960000,0.03
2017-11-24,0.03,0.03,0.03,0.03,5502350,710569000,0.03
2017-11-25,0.03,0.03,0.03,0.03,6156460,734370000,0.03
2017-11-26,0.03,0.04,0.03,0.04,30527100,789144000,0.03
2017-11-27,0.04,0.06,0.04,0.05,77777300,949409000,0.05
2017-11-28,0.05,0.13,0.05,0.12,240338000,1312600000,0.09
2017-11-29,0.12,0.15,0.08,0.09,210625000,3065480000,0.11
2017-11-30,0.09,0.13,0.09,0.12,124345000,2461270000,0.11
2017-12-01,0.12,0.13,0.11,0.13,73657600,3023680000,0.12
2017-12-02,0.13,0.14,0.13,0.13,56712600,3412870000,0.13
2017-12-03,0.13,0.14,0.12,0.13,46458900,3431460000,0.13
2017-12-04,0.13,0.15,0.13,0.14,76392700,3410590000,0.14
2017-12-05,0.14,0.14,0.13,0.13,50381100,3516360000,0.13
2017-12-06,0.13,0.13,0.11,0.12,75688800,3286200000,0.12
2017-12-07,0.12,0.12,0.11,0.11,71024600,3053330000,0.11
2017-12-08,0.11,0.12,0.10,0.12,70092400,2751950000,0.11
2017-12-09,0.11,0.14,0.11,0.12,63308600,2974990000,0.13
2017-12-10,0.12,0.12,0.10,0.11,46376600,3105910000,0.11
2017-12-11,0.11,0.12,0.11,0.12,39513900,2824170000,0.12
2017-12-12,0.12,0.14,0.11,0.13,60056800,3141770000,0.13
2017-12-13,0.13,0.14,0.12,0.13,61575000,3467460000,0.13
2017-12-14,0.13,0.24,0.13,0.24,309307000,3465580000,0.19
2017-12-15,0.23,0.23,0.19,0.21,207311000,6046420000,0.21
2017-12-16,0.21,0.45,0.20,0.40,581052000,5519230000,0.33
2017-12-17,0.39,0.59,0.38,0.51,628143000,10027900000,0.49
2017-12-18,0.51,0.53,0.47,0.52,253463000,13273100000,0.50
2017-12-19,0.52,0.59,0.50,0.53,279631000,13489000000,0.55
2017-12-20,0.53,0.53,0.44,0.49,182924000,13837400000,0.49
2017-12-21,0.49,0.52,0.46,0.48,162926000,12705500000,0.49
2017-12-22,0.48,0.48,0.29,0.41,150973000,12418400000,0.39
2017-12-23,0.41,0.45,0.39,0.41,88865000,10744700000,0.42
2017-12-24,0.42,0.42,0.35,0.39,67372300,10802800000,0.38
2017-12-25,0.39,0.44,0.36,0.42,122194000,10172000000,0.40
2017-12-26,0.41,0.43,0.41,0.43,94896000,10722700000,0.42
2017-12-27,0.43,0.43,0.40,0.41,82067500,11073600000,0.42
2017-12-28,0.41,0.42,0.37,0.41,82263800,10682500000,0.39
2017-12-29,0.41,0.56,0.40,0.53,266403000,10642000000,0.48
2017-12-30,0.53,0.78,0.47,0.64,645156000,13697700000,0.62
2017-12-31,0.64,0.75,0.64,0.72,305947000,16660300000,0.70
2018-01-01,0.72,0.73,0.67,0.73,150186000,18637600000,0.70
2018-01-02,0.72,0.79,0.70,0.78,289712000,18788700000,0.75
2018-01-03,0.78,1.09,0.78,1.08,657398000,20214800000,0.93
2018-01-04,1.09,1.33,1.04,1.11,593430000,28364900000,1.19
2018-01-05,1.17,1.25,0.90,1.00,508100000,30364400000,1.08
2018-01-06,1.00,1.05,0.93,1.03,297615000,25849300000,0.99
2018-01-07,1.02,1.04,0.99,1.01,226067000,26553200000,1.02
2018-01-08,1.00,1.00,0.76,0.90,264461000,25909700000,0.88
2018-01-09,0.90,0.92,0.80,0.81,209492000,23287300000,0.86
2018-01-10,0.82,0.82,0.68,0.79,236472000,21153200000,0.75
2018-01-11,0.79,0.79,0.57,0.69,229001000,20521800000,0.68
2018-01-12,0.70,0.93,0.66,0.90,365795000,18039200000,0.80
2018-01-13,0.92,0.97,0.84,0.88,313215000,23785800000,0.90
2018-01-14,0.88,0.88,0.75,0.80,160712000,22866700000,0.82
2018-01-15,0.80,0.88,0.78,0.78,972993000,20631800000,0.83
2018-01-16,0.78,0.78,0.48,0.63,1632650000,20239200000,0.63
2018-01-17,0.62,0.68,0.44,0.63,1713770000,16181700000,0.56
2018-01-18,0.63,0.71,0.59,0.66,1285490000,16367600000,0.65
2018-01-19,0.65,0.69,0.62,0.65,584574000,16840800000,0.65
2018-01-20,0.66,0.73,0.65,0.71,738799000,17022800000,0.69
2018-01-21,0.71,0.71,0.59,0.61,847731000,18314600000,0.65
2018-01-22,0.61,0.63,0.52,0.57,522984000,15944700000,0.58
2018-01-23,0.57,0.59,0.52,0.56,375958000,14688600000,0.56
2018-01-24,0.56,0.64,0.54,0.62,689838000,14606500000,0.59
2018-01-25,0.63,0.68,0.62,0.64,654814000,16316900000,0.65
2018-01-26,0.63,0.65,0.57,0.62,810062000,16435300000,0.61
2018-01-27,0.62,0.63,0.60,0.62,331309000,16164900000,0.61
2018-01-28,0.62,0.68,0.62,0.67,325146000,16089300000,0.65
2018-01-29,0.67,0.67,0.62,0.62,238318000,17354900000,0.65
2018-01-30,0.62,0.62,0.52,0.53,359622000,16199200000,0.57
2018-01-31,0.53,0.55,0.47,0.52,505904000,13679100000,0.51
2018-02-01,0.52,0.54,0.41,0.42,595624000,13376100000,0.47
2018-02-02,0.42,0.42,0.27,0.39,1438810000,10875400000,0.35
2018-02-03,0.40,0.50,0.33,0.44,1404500000,10395800000,0.42
2018-02-04,0.43,0.48,0.37,0.38,814754000,11248900000,0.42
2018-02-05,0.39,0.40,0.32,0.33,658548000,9983060000,0.36
2018-02-06,0.33,0.38,0.27,0.37,1338390000,8587280000,0.32
2018-02-07,0.37,0.38,0.33,0.34,679744000,9522150000,0.35
2018-02-08,0.34,0.37,0.34,0.36,346383000,8930940000,0.35
2018-02-09,0.35,0.39,0.34,0.39,401271000,9148310000,0.37
2018-02-10,0.39,0.46,0.39,0.41,951824000,10025200000,0.42
2018-02-11,0.41,0.41,0.36,0.37,331944000,10503200000,0.38
2018-02-12,0.37,0.39,0.37,0.38,243039000,9660290000,0.38
2018-02-13,0.38,0.39,0.36,0.37,225695000,9941370000,0.37
2018-02-14,0.37,0.40,0.37,0.40,299009000,9690670000,0.39
