date,open,high,low,close,volume,market cap,average
2017-07-17,0.16,0.18,0.15,0.18,9750800,-,0.16
2017-07-18,0.17,0.21,0.17,0.18,7932920,58127500,0.19
2017-07-19,0.17,0.19,0.13,0.14,3096710,58941500,0.16
2017-07-20,0.14,0.17,0.14,0.15,2553680,48810100,0.16
2017-07-21,0.16,0.16,0.15,0.15,1299210,52735600,0.16
2017-07-22,0.15,0.20,0.15,0.19,1828370,51911400,0.17
2017-07-23,0.18,0.20,0.17,0.18,1297280,62768200,0.19
2017-07-24,0.18,0.23,0.18,0.20,5167200,62441300,0.21
2017-07-25,0.20,0.21,0.16,0.17,2490100,69000100,0.19
2017-07-26,0.17,0.18,0.16,0.17,1086920,58935600,0.17
2017-07-27,0.17,0.18,0.16,0.16,1193380,58867400,0.17
2017-07-28,0.16,0.17,0.15,0.15,1140120,55226900,0.16
2017-07-29,0.15,0.17,0.15,0.17,617954,52046400,0.16
2017-07-30,0.17,0.17,0.15,0.16,601016,56898000,0.16
2017-07-31,0.16,0.17,0.16,0.16,633192,55617800,0.16
2017-08-01,0.16,0.18,0.16,0.17,965800,55378200,0.17
2017-08-02,0.17,0.17,0.16,0.16,917333,58418300,0.17
2017-08-03,0.16,0.18,0.16,0.17,860385,54895500,0.17
2017-08-04,0.17,0.20,0.17,0.19,1658350,59011000,0.18
2017-08-05,0.20,0.23,0.19,0.21,2692140,66318600,0.21
2017-08-06,0.22,0.22,0.21,0.21,1383270,73802500,0.21
2017-08-07,0.21,0.21,0.20,0.20,1543070,70704600,0.20
2017-08-08,0.20,0.22,0.19,0.20,1775290,67176700,0.20
2017-08-09,0.20,0.22,0.20,0.22,1663640,69601000,0.21
2017-08-10,0.22,0.47,0.22,0.46,51701100,75756900,0.34
2017-08-11,0.45,0.69,0.45,0.64,71905400,154268000,0.57
2017-08-12,0.64,0.69,0.53,0.56,30224400,217032000,0.61
2017-08-13,0.56,0.74,0.51,0.73,25452100,191636000,0.63
2017-08-14,0.74,0.75,0.59,0.65,23191200,251245000,0.67
2017-08-15,0.64,0.65,0.57,0.60,11123900,219216000,0.61
2017-08-16,0.59,0.64,0.58,0.62,11901600,202021000,0.61
2017-08-17,0.62,0.64,0.55,0.56,11211700,210597000,0.59
2017-08-18,0.57,0.58,0.43,0.49,10102400,194144000,0.51
2017-08-19,0.49,0.60,0.42,0.56,9626780,166666000,0.51
2017-08-20,0.56,0.60,0.51,0.56,8170140,188791000,0.56
2017-08-21,0.56,0.59,0.49,0.49,6230230,190642000,0.54
2017-08-22,0.49,0.52,0.45,0.49,4403160,167883000,0.49
2017-08-23,0.49,0.56,0.47,0.51,7812220,166230000,0.51
2017-08-24,0.51,0.57,0.49,0.53,8358530,172506000,0.53
2017-08-25,0.53,0.53,0.50,0.51,3269230,180047000,0.51
2017-08-26,0.50,0.54,0.48,0.51,3825960,171570000,0.51
2017-08-27,0.51,0.52,0.50,0.51,3202900,173955000,0.51
2017-08-28,0.51,0.57,0.50,0.53,5596950,175040000,0.53
2017-08-29,0.53,0.56,0.52,0.54,6538250,180191000,0.54
2017-08-30,0.54,0.55,0.49,0.52,4372520,183043000,0.52
2017-08-31,0.52,0.55,0.48,0.52,5411070,175620000,0.52
2017-09-01,0.52,0.52,0.48,0.49,5070740,176971000,0.50
2017-09-02,0.49,0.49,0.41,0.44,4603280,166577000,0.45
2017-09-03,0.44,0.46,0.40,0.43,2665590,149919000,0.43
2017-09-04,0.43,0.43,0.30,0.38,5168010,147843000,0.37
2017-09-05,0.38,0.45,0.32,0.42,4372530,128046000,0.38
2017-09-06,0.42,0.45,0.41,0.44,3002330,144459000,0.43
2017-09-07,0.44,0.44,0.42,0.44,2327450,150332000,0.43
2017-09-08,0.43,0.44,0.35,0.38,3212060,146947000,0.39
