date,open,high,low,close,volume,market cap,average
2014-02-14,0.21,0.38,0.21,0.37,15422,702537,0.30
2014-02-15,0.33,0.35,0.22,0.31,21119,1092120,0.29
2014-02-16,0.33,0.46,0.31,0.41,28017,1085280,0.39
2014-02-17,0.41,1.50,0.40,1.45,178618,1360260,0.95
2014-02-18,1.18,1.50,0.84,1.04,160779,3960320,1.17
2014-02-19,1.04,1.21,0.85,0.94,60551,3497850,1.03
2014-02-20,0.94,1.23,0.89,1.06,93281,3196180,1.06
2014-02-21,1.05,1.33,1.02,1.13,83008,3590320,1.18
2014-02-22,1.12,1.26,0.70,1.24,101024,3833460,0.98
2014-02-23,1.15,3.36,0.62,1.15,115234,3945250,1.99
2014-02-24,1.18,1.19,0.42,0.84,109256,4082000,0.80
2014-02-25,0.84,0.84,0.53,0.53,69493,2902860,0.68
2014-02-26,0.62,0.74,0.49,0.62,49321,2153440,0.62
2014-02-27,0.62,0.74,0.55,0.62,15148,2148350,0.65
2014-02-28,0.62,0.63,0.46,0.55,60517,2163860,0.54
2014-03-01,0.55,1.07,0.53,0.94,252311,1929800,0.80
2014-03-02,0.94,1.08,0.82,1.03,148259,3298980,0.95
2014-03-03,1.03,4.40,0.94,1.21,271197,3651050,2.67
2014-03-04,1.21,1.21,0.97,0.99,90550,4283970,1.09
2014-03-05,0.99,1.07,0.94,1.03,93138,3515760,1.01
2014-03-06,1.03,1.05,0.95,1.05,68896,3692890,1.00
2014-03-07,1.06,1.10,0.88,0.88,112877,3787000,0.99
2014-03-08,0.91,0.95,0.86,0.91,70281,3285680,0.91
2014-03-09,0.91,0.96,0.81,0.87,48781,3296790,0.88
2014-03-10,0.87,0.91,0.75,0.81,45946,3159030,0.83
2014-03-11,0.81,0.92,0.76,0.89,42234,2934810,0.84
2014-03-12,0.89,0.95,0.86,0.87,39530,3238290,0.91
2014-03-13,0.87,0.90,0.81,0.83,31123,3166030,0.85
2014-03-14,0.83,0.85,0.79,0.81,26274,3057150,0.82
2014-03-15,0.81,0.82,0.74,0.79,30817,2979000,0.78
2014-03-16,0.79,0.80,0.76,0.78,39429,2924440,0.78
2014-03-17,0.77,0.82,0.75,0.78,34416,2863030,0.79
2014-03-18,0.78,0.78,0.73,0.75,39252,2897450,0.76
2014-03-19,0.75,0.77,0.73,0.74,35742,2800990,0.75
2014-03-20,0.74,0.76,0.70,0.73,42290,2781320,0.73
2014-03-21,0.72,0.75,0.68,0.70,28087,2719600,0.72
2014-03-22,0.70,0.72,0.68,0.71,24618,2652100,0.70
2014-03-23,0.72,0.73,0.69,0.72,34977,2703390,0.71
2014-03-24,0.72,0.89,0.70,0.87,136677,2727950,0.80
2014-03-25,0.87,0.90,0.80,0.82,78095,3302840,0.85
