date,open,high,low,close,volume,market cap,average
2013-12-15,0.00,0.00,0.00,0.00,-,3488670,0.00
2013-12-16,0.00,0.00,0.00,0.00,-,1970320,0.00
2013-12-17,0.00,0.00,0.00,0.00,-,1526120,0.00
2013-12-18,0.00,0.00,0.00,0.00,-,2160040,0.00
2013-12-19,0.00,0.00,0.00,0.00,-,3487800,0.00
2013-12-20,0.00,0.00,0.00,0.00,-,10967000,0.00
2013-12-21,0.00,0.00,0.00,0.00,-,7251820,0.00
2013-12-22,0.00,0.00,0.00,0.00,-,4333660,0.00
2013-12-23,0.00,0.00,0.00,0.00,-,3682510,0.00
2013-12-24,0.00,0.00,0.00,0.00,-,5636240,0.00
2013-12-25,0.00,0.00,0.00,0.00,-,9086260,0.00
2013-12-26,0.00,0.00,0.00,0.00,-,8217120,0.00
2013-12-27,0.00,0.00,0.00,0.00,477422,8854330,0.00
2013-12-28,0.00,0.00,0.00,0.00,341581,8051360,0.00
2013-12-29,0.00,0.00,0.00,0.00,360974,7377480,0.00
2013-12-30,0.00,0.00,0.00,0.00,276660,7598510,0.00
2013-12-31,0.00,0.00,0.00,0.00,273400,7311460,0.00
2014-01-01,0.00,0.00,0.00,0.00,307917,7701190,0.00
2014-01-02,0.00,0.00,0.00,0.00,318037,8504140,0.00
2014-01-03,0.00,0.00,0.00,0.00,303106,6940830,0.00
2014-01-04,0.00,0.00,0.00,0.00,313907,6198170,0.00
2014-01-05,0.00,0.00,0.00,0.00,245107,6318730,0.00
2014-01-06,0.00,0.00,0.00,0.00,265529,5899650,0.00
2014-01-07,0.00,0.00,0.00,0.00,212892,5726300,0.00
2014-01-08,0.00,0.00,0.00,0.00,174256,5159610,0.00
2014-01-09,0.00,0.00,0.00,0.00,314644,5415010,0.00
2014-01-10,0.00,0.00,0.00,0.00,570553,6034890,0.00
2014-01-11,0.00,0.00,0.00,0.00,986660,9428560,0.00
2014-01-12,0.00,0.00,0.00,0.00,296158,9321690,0.00
2014-01-13,0.00,0.00,0.00,0.00,391890,9175880,0.00
2014-01-14,0.00,0.00,0.00,0.00,577691,7619940,0.00
2014-01-15,0.00,0.00,0.00,0.00,1259190,9604290,0.00
2014-01-16,0.00,0.00,0.00,0.00,483679,11924600,0.00
2014-01-17,0.00,0.00,0.00,0.00,716054,11354800,0.00
2014-01-18,0.00,0.00,0.00,0.00,2998020,12584500,0.00
2014-01-19,0.00,0.00,0.00,0.00,3509460,18265900,0.00
2014-01-20,0.00,0.00,0.00,0.00,9061440,22181200,0.00
2014-01-21,0.00,0.00,0.00,0.00,13114300,40764900,0.00
2014-01-22,0.00,0.00,0.00,0.00,5896280,65907400,0.00
2014-01-23,0.00,0.00,0.00,0.00,5532260,50913700,0.00
2014-01-24,0.00,0.00,0.00,0.00,4732940,62568300,0.00
2014-01-25,0.00,0.00,0.00,0.00,3206090,63241800,0.00
2014-01-26,0.00,0.00,0.00,0.00,4570820,66670100,0.00
2014-01-27,0.00,0.00,0.00,0.00,1999700,58676000,0.00
2014-01-28,0.00,0.00,0.00,0.00,2112100,45943000,0.00
2014-01-29,0.00,0.00,0.00,0.00,2488540,51737400,0.00
2014-01-30,0.00,0.00,0.00,0.00,2168880,62452400,0.00
2014-01-31,0.00,0.00,0.00,0.00,1003380,60477400,0.00
2014-02-01,0.00,0.00,0.00,0.00,1084150,63019600,0.00
2014-02-02,0.00,0.00,0.00,0.00,2000720,59662500,0.00
2014-02-03,0.00,0.00,0.00,0.00,1879300,53467700,0.00
2014-02-04,0.00,0.00,0.00,0.00,2569440,54005800,0.00
2014-02-05,0.00,0.00,0.00,0.00,2623790,50366800,0.00
2014-02-06,0.00,0.00,0.00,0.00,1831240,57574800,0.00
2014-02-07,0.00,0.00,0.00,0.00,1401220,58566400,0.00
2014-02-08,0.00,0.00,0.00,0.00,789545,50250600,0.00
2014-02-09,0.00,0.00,0.00,0.00,2538170,49773700,0.00
2014-02-10,0.00,0.00,0.00,0.00,4810030,60361800,0.00
2014-02-11,0.00,0.00,0.00,0.00,9117540,67385100,0.00
2014-02-12,0.00,0.00,0.00,0.00,6437240,87842000,0.00
2014-02-13,0.00,0.00,0.00,0.00,5636470,89197700,0.00
2014-02-14,0.00,0.00,0.00,0.00,6470210,77942300,0.00
2014-02-15,0.00,0.00,0.00,0.00,4900070,79014400,0.00
2014-02-16,0.00,0.00,0.00,0.00,2110320,76647400,0.00
2014-02-17,0.00,0.00,0.00,0.00,4679940,71737400,0.00
2014-02-18,0.00,0.00,0.00,0.00,2027290,68956500,0.00
2014-02-19,0.00,0.00,0.00,0.00,2416530,73485600,0.00
2014-02-20,0.00,0.00,0.00,0.00,2420130,69869700,0.00
2014-02-21,0.00,0.00,0.00,0.00,2149320,63418800,0.00
2014-02-22,0.00,0.00,0.00,0.00,1455000,63620000,0.00
2014-02-23,0.00,0.00,0.00,0.00,2818150,67881200,0.00
2014-02-24,0.00,0.00,0.00,0.00,1907020,62802400,0.00
2014-02-25,0.00,0.00,0.00,0.00,4596380,56495400,0.00
2014-02-26,0.00,0.00,0.00,0.00,3165270,53321900,0.00
2014-02-27,0.00,0.00,0.00,0.00,1492960,64970300,0.00
2014-02-28,0.00,0.00,0.00,0.00,1519040,63750700,0.00
2014-03-01,0.00,0.00,0.00,0.00,1227770,59172100,0.00
2014-03-02,0.00,0.00,0.00,0.00,1498200,58739500,0.00
2014-03-03,0.00,0.00,0.00,0.00,3652600,53446500,0.00
2014-03-04,0.00,0.00,0.00,0.00,3778550,61839700,0.00
2014-03-05,0.00,0.00,0.00,0.00,1247530,58994200,0.00
2014-03-06,0.00,0.00,0.00,0.00,1093730,60275100,0.00
2014-03-07,0.00,0.00,0.00,0.00,1551340,57955400,0.00
2014-03-08,0.00,0.00,0.00,0.00,1319210,53483300,0.00
2014-03-09,0.00,0.00,0.00,0.00,1444630,48232000,0.00
2014-03-10,0.00,0.00,0.00,0.00,1428770,50844900,0.00
2014-03-11,0.00,0.00,0.00,0.00,3138850,45809000,0.00
2014-03-12,0.00,0.00,0.00,0.00,4777870,45247200,0.00
2014-03-13,0.00,0.00,0.00,0.00,2111640,53882800,0.00
2014-03-14,0.00,0.00,0.00,0.00,991836,51950500,0.00
2014-03-15,0.00,0.00,0.00,0.00,835369,52155800,0.00
2014-03-16,0.00,0.00,0.00,0.00,776123,50855900,0.00
2014-03-17,0.00,0.00,0.00,0.00,1484340,50037400,0.00
2014-03-18,0.00,0.00,0.00,0.00,1148100,47693100,0.00
2014-03-19,0.00,0.00,0.00,0.00,1550450,47129100,0.00
2014-03-20,0.00,0.00,0.00,0.00,888744,47782700,0.00
2014-03-21,0.00,0.00,0.00,0.00,2157110,44987700,0.00
