date,open,high,low,close,volume,market cap,average
2015-08-07,2.83,3.54,2.52,2.77,164329,-,3.03
2015-08-08,2.79,2.80,0.71,0.75,674188,167911000,1.76
2015-08-09,0.71,0.88,0.63,0.70,532170,42637600,0.75
2015-08-10,0.71,0.73,0.64,0.71,405283,43130000,0.68
2015-08-11,0.71,1.13,0.66,1.07,1463100,42796500,0.90
2015-08-12,1.06,1.29,0.88,1.22,2150620,64018400,1.09
2015-08-13,1.22,1.97,1.17,1.83,4068680,73935400,1.57
2015-08-14,1.81,2.26,1.75,1.83,4637030,109594000,2.00
2015-08-15,1.80,1.88,1.57,1.69,2554360,109160000,1.73
2015-08-16,1.68,1.70,1.09,1.57,3550790,102028000,1.40
2015-08-17,1.58,1.58,1.19,1.20,1942830,95819700,1.39
2015-08-18,1.22,1.33,1.09,1.09,1485680,88143200,1.21
2015-08-19,1.17,1.32,1.17,1.26,1486240,84663900,1.25
2015-08-20,1.25,1.53,1.25,1.46,2843760,90809000,1.39
2015-08-21,1.48,1.56,1.35,1.40,2020970,107266000,1.46
2015-08-22,1.40,1.48,1.35,1.38,948310,101404000,1.42
2015-08-23,1.38,1.41,1.30,1.35,1589300,99894500,1.35
2015-08-24,1.35,1.36,1.23,1.23,924920,97791600,1.29
2015-08-25,1.23,1.24,1.13,1.14,1307180,89321900,1.19
2015-08-26,1.13,1.20,1.06,1.16,1056750,82384400,1.13
2015-08-27,1.17,1.19,1.14,1.15,686662,85106100,1.17
2015-08-28,1.15,1.21,1.12,1.19,721872,83521700,1.17
2015-08-29,1.19,1.21,1.15,1.18,375377,86887600,1.18
2015-08-30,1.18,1.37,1.17,1.32,1337650,86145900,1.27
2015-08-31,1.32,1.40,1.20,1.36,1447180,96251000,1.30
2015-09-01,1.35,1.39,1.34,1.35,778862,98617200,1.36
2015-09-02,1.35,1.35,1.26,1.29,883769,98504600,1.31
2015-09-03,1.30,1.31,1.21,1.26,702991,94418700,1.26
2015-09-04,1.26,1.30,1.24,1.27,474391,92234100,1.27
2015-09-05,1.28,1.34,1.27,1.34,448453,93402300,1.31
2015-09-06,1.34,1.37,1.29,1.30,491968,97625500,1.33
2015-09-07,1.30,1.31,1.24,1.25,489014,94585300,1.27
2015-09-08,1.25,1.28,1.23,1.24,427892,91020700,1.25
2015-09-09,1.24,1.26,1.20,1.21,366748,90518300,1.23
2015-09-10,1.21,1.22,1.14,1.17,662782,88230500,1.18
2015-09-11,1.16,1.17,0.94,0.98,1942600,85144300,1.06
2015-09-12,0.99,1.11,0.97,1.04,772430,72179000,1.04
2015-09-13,1.04,1.04,0.90,0.94,644138,76193600,0.97
2015-09-14,0.94,0.95,0.87,0.88,741085,68814400,0.91
2015-09-15,0.88,1.05,0.88,0.94,703390,64052400,0.96
2015-09-16,0.94,0.95,0.90,0.91,615593,68963300,0.93
2015-09-17,0.91,0.91,0.83,0.87,897940,66415200,0.87
2015-09-18,0.87,0.89,0.83,0.85,484622,64071300,0.86
2015-09-19,0.85,0.91,0.83,0.88,386988,62262700,0.87
2015-09-20,0.88,0.95,0.87,0.94,508314,64600000,0.91
2015-09-21,0.94,0.96,0.88,0.92,424039,69045900,0.92
2015-09-22,0.92,0.92,0.87,0.90,487914,67444200,0.89
2015-09-23,0.90,0.91,0.89,0.89,200541,66309600,0.90
2015-09-24,0.90,0.91,0.79,0.81,842505,65836400,0.85
2015-09-25,0.82,0.83,0.71,0.74,903457,60221400,0.77
2015-09-26,0.74,0.79,0.71,0.79,369620,54188900,0.75
2015-09-27,0.79,0.79,0.72,0.72,413801,58149600,0.76
2015-09-28,0.72,0.73,0.56,0.58,1320890,53201800,0.64
2015-09-29,0.58,0.68,0.56,0.66,913992,42607700,0.62
2015-09-30,0.66,0.75,0.64,0.74,619926,48636600,0.69
2015-10-01,0.73,0.73,0.66,0.69,596084,54032300,0.70
2015-10-02,0.68,0.69,0.65,0.68,219318,50328700,0.67
2015-10-03,0.68,0.71,0.68,0.69,163326,49981900,0.69
2015-10-04,0.69,0.69,0.66,0.67,103497,50556000,0.68
2015-10-05,0.67,0.67,0.62,0.63,234263,49131600,0.65
2015-10-06,0.62,0.65,0.61,0.65,262674,45863300,0.63
2015-10-07,0.65,0.66,0.60,0.61,218327,47964700,0.63
2015-10-08,0.61,0.63,0.59,0.62,310266,44955900,0.61
