date,open,high,low,close,volume,market cap,average
2017-06-13,0.64,0.65,0.53,0.59,25425600,1774740000,0.59
2017-06-14,0.59,0.61,0.50,0.53,14194900,1646450000,0.55
2017-06-15,0.53,0.54,0.30,0.36,10300400,1468380000,0.42
2017-06-16,0.35,0.45,0.31,0.41,6920690,981966000,0.38
2017-06-17,0.43,0.44,0.41,0.42,3100660,1186200000,0.43
2017-06-18,0.42,0.43,0.39,0.41,2514450,1169060000,0.41
2017-06-19,0.41,0.42,0.39,0.41,3543640,1126980000,0.40
2017-06-20,0.41,0.42,0.40,0.42,3755470,1151560000,0.41
2017-06-21,0.42,0.44,0.41,0.41,3999810,1165840000,0.42
2017-06-22,0.41,0.43,0.41,0.42,2343320,1148980000,0.42
2017-06-23,0.42,0.48,0.41,0.48,3768560,1161200000,0.44
2017-06-24,0.48,0.64,0.48,0.51,19215500,1341870000,0.56
2017-06-25,0.51,0.53,0.45,0.47,5012890,1429190000,0.49
2017-06-26,0.47,0.47,0.35,0.40,9101080,1306910000,0.41
2017-06-27,0.41,0.42,0.35,0.39,4411090,1145140000,0.39
2017-06-28,0.40,0.40,0.36,0.38,4704400,1111460000,0.38
2017-06-29,0.38,0.46,0.36,0.42,5324020,1044460000,0.41
2017-06-30,0.42,0.45,0.40,0.40,5044270,1159530000,0.43
2017-07-01,0.40,0.41,0.38,0.39,2334640,1118190000,0.40
2017-07-02,0.39,0.40,0.37,0.38,2971770,1089240000,0.38
2017-07-03,0.38,0.38,0.36,0.38,3873180,1053600000,0.37
2017-07-04,0.37,0.41,0.37,0.40,3933710,1042050000,0.39
2017-07-05,0.40,0.40,0.37,0.38,3061100,1101450000,0.39
2017-07-06,0.38,0.38,0.32,0.35,8218370,1056920000,0.35
2017-07-07,0.36,0.36,0.27,0.28,8804780,988966000,0.31
2017-07-08,0.29,0.32,0.28,0.31,3273950,795402000,0.30
2017-07-09,0.30,0.31,0.29,0.30,2474500,826569000,0.30
2017-07-10,0.30,0.30,0.19,0.22,8233640,846301000,0.25
2017-07-11,0.21,0.23,0.19,0.19,6946200,596881000,0.21
2017-07-12,0.19,0.24,0.18,0.23,4646480,531237000,0.21
2017-07-13,0.23,0.24,0.19,0.21,4129150,636787000,0.22
2017-07-14,0.21,0.21,0.16,0.18,3347860,592038000,0.19
2017-07-15,0.18,0.18,0.15,0.16,3913220,487076000,0.16
2017-07-16,0.16,0.19,0.16,0.18,4178170,439057000,0.17
2017-07-17,0.18,0.28,0.18,0.26,15254300,502309000,0.23
2017-07-18,0.26,0.31,0.25,0.27,11433600,735378000,0.28
2017-07-19,0.27,0.28,0.23,0.23,6339730,745365000,0.26
2017-07-20,0.23,0.30,0.23,0.29,10332500,649028000,0.27
2017-07-21,0.29,0.31,0.26,0.26,6344870,819295000,0.28
2017-07-22,0.26,0.28,0.25,0.27,4107430,732099000,0.27
2017-07-23,0.27,0.28,0.26,0.27,3065860,760738000,0.27
2017-07-24,0.27,0.27,0.24,0.27,4502060,736952000,0.26
2017-07-25,0.27,0.27,0.24,0.25,2917500,741654000,0.25
2017-07-26,0.25,0.28,0.24,0.27,4626790,696469000,0.26
2017-07-27,0.28,0.29,0.28,0.28,3343540,769512000,0.28
2017-07-28,0.27,0.28,0.26,0.27,2884740,764026000,0.27
2017-07-29,0.27,0.28,0.25,0.28,2788270,740931000,0.26
2017-07-30,0.28,0.28,0.25,0.25,3165840,770872000,0.27
2017-07-31,0.26,0.26,0.25,0.25,2563820,708959000,0.25
2017-08-01,0.26,0.30,0.25,0.29,5169910,713408000,0.27
2017-08-02,0.29,0.29,0.27,0.29,3439800,806440000,0.28
2017-08-03,0.29,0.34,0.28,0.33,8239810,796552000,0.31
2017-08-04,0.33,0.42,0.33,0.39,20179000,923468000,0.38
2017-08-05,0.39,0.43,0.36,0.41,9091140,1092850000,0.40
2017-08-06,0.41,0.44,0.40,0.43,6276510,1133190000,0.42
2017-08-07,0.43,0.49,0.42,0.47,14717700,1197430000,0.45
2017-08-08,0.47,0.55,0.46,0.55,21988500,1317150000,0.50
2017-08-09,0.55,0.56,0.51,0.54,13294400,1520740000,0.53
2017-08-10,0.54,0.59,0.51,0.57,16602500,1489290000,0.55
2017-08-11,0.57,0.71,0.56,0.65,43618800,1571890000,0.63
2017-08-12,0.66,0.73,0.63,0.72,20358000,1821120000,0.68
2017-08-13,0.72,0.83,0.72,0.81,41198400,2007290000,0.77
2017-08-14,0.81,0.98,0.79,0.98,54630900,2256250000,0.89
2017-08-15,0.98,1.00,0.77,0.92,84698300,2716490000,0.88
2017-08-16,0.91,1.05,0.88,1.05,52081500,2542510000,0.96
2017-08-17,1.04,1.10,1.00,1.02,58209300,2904020000,1.05
2017-08-18,1.01,1.03,0.77,0.87,58053400,2819080000,0.90
2017-08-19,0.87,0.99,0.78,0.98,39975500,2422580000,0.88
2017-08-20,0.97,1.02,0.94,0.94,29447600,2699540000,0.98
2017-08-21,0.91,0.94,0.84,0.91,32558600,2522210000,0.89
2017-08-22,0.90,0.90,0.79,0.84,26333800,2506520000,0.84
2017-08-23,0.84,0.94,0.83,0.85,27418300,2341800000,0.89
2017-08-24,0.85,0.90,0.81,0.90,17132900,2373840000,0.85
2017-08-25,0.89,0.93,0.84,0.92,18226300,2486940000,0.89
2017-08-26,0.92,0.97,0.88,0.96,16623100,2545840000,0.92
2017-08-27,0.96,0.98,0.89,0.92,17816000,2674070000,0.93
2017-08-28,0.92,0.93,0.78,0.88,24288200,2564020000,0.86
2017-08-29,0.88,0.88,0.75,0.81,28538500,2437350000,0.81
2017-08-30,0.81,0.88,0.79,0.87,17428100,2259140000,0.84
2017-08-31,0.87,0.90,0.83,0.84,15194300,2416950000,0.87
2017-09-01,0.84,0.88,0.77,0.81,28047000,2342770000,0.82
