date,open,high,low,close,volume,market cap,average
2017-09-24,1.85,1.89,1.58,1.85,16343900,255074000,1.73
2017-09-25,1.85,2.57,1.84,2.37,20214300,255726000,2.21
2017-09-26,2.39,2.46,1.75,1.86,17221400,329963000,2.10
2017-09-27,1.88,1.95,1.37,1.75,13061200,259508000,1.66
2017-09-28,1.75,1.80,1.58,1.75,6194970,241833000,1.69
2017-09-29,1.74,1.83,1.57,1.75,5894070,239539000,1.70
2017-09-30,1.75,1.79,1.71,1.78,2964430,241157000,1.75
2017-10-01,1.78,2.23,1.76,2.15,9558870,245657000,2.00
2017-10-02,2.16,2.16,1.86,1.88,5359390,297983000,2.01
2017-10-03,1.88,1.90,1.68,1.74,4315990,260007000,1.79
2017-10-04,1.74,1.77,1.67,1.69,2997490,239513000,1.72
2017-10-05,1.69,1.73,1.65,1.71,2388130,233811000,1.69
2017-10-06,1.71,1.71,1.58,1.68,3614010,236075000,1.65
2017-10-07,1.69,1.81,1.68,1.73,3343770,232691000,1.75
2017-10-08,1.74,1.74,1.47,1.49,3154360,239711000,1.60
2017-10-09,1.49,1.60,1.25,1.34,4111030,205720000,1.43
2017-10-10,1.32,1.51,1.28,1.41,3865780,182709000,1.40
2017-10-11,1.41,1.45,1.33,1.35,2490110,194220000,1.39
2017-10-12,1.36,1.38,1.20,1.21,3191600,187762000,1.29
2017-10-13,1.21,1.25,1.11,1.14,3801870,167655000,1.18
2017-10-14,1.13,1.26,1.12,1.19,1665910,156511000,1.19
2017-10-15,1.20,1.23,1.11,1.12,1581870,165467000,1.17
2017-10-16,1.13,1.19,1.10,1.12,1708690,156550000,1.15
2017-10-17,1.12,1.14,1.06,1.09,1584850,155015000,1.10
2017-10-18,1.09,1.19,1.02,1.17,2117500,145975000,1.10
2017-10-19,1.18,1.23,1.09,1.11,1718040,157638000,1.16
2017-10-20,1.10,1.12,1.05,1.05,1750820,147755000,1.08
2017-10-21,1.04,1.06,0.99,1.03,1222700,139223000,1.03
2017-10-22,1.04,1.07,1.01,1.03,1008560,138967000,1.04
2017-10-23,1.03,1.03,0.89,0.96,1818730,137817000,0.96
2017-10-24,0.96,1.16,0.93,1.06,2674010,128594000,1.04
2017-10-25,1.07,1.09,1.02,1.08,1806630,143240000,1.06
2017-10-26,1.09,1.09,1.03,1.05,1273230,145662000,1.06
2017-10-27,1.05,1.06,1.00,1.01,1480770,140364000,1.03
2017-10-28,1.01,1.02,0.93,0.94,1458920,135186000,0.98
2017-10-29,0.94,1.01,0.94,0.97,1598860,126111000,0.97
2017-10-30,0.97,1.00,0.96,0.99,1764840,130229000,0.98
2017-10-31,0.99,1.01,0.95,0.95,1840830,132250000,0.98
2017-11-01,0.95,1.09,0.94,0.97,4692730,127320000,1.01
