date,open,high,low,close,volume,market cap,average
2013-04-28,4.30,4.40,4.18,4.35,-,73773400,4.29
2013-04-29,4.37,4.57,4.23,4.38,-,74952700,4.40
2013-04-30,4.40,4.57,4.17,4.30,-,75726800,4.37
2013-05-01,4.29,4.36,3.52,3.80,-,73901200,3.94
2013-05-02,3.78,4.04,3.01,3.37,-,65242700,3.52
2013-05-03,3.39,3.45,2.40,3.04,-,58607400,2.92
2013-05-04,3.03,3.64,2.90,3.48,-,52476400,3.27
2013-05-05,3.49,3.69,3.35,3.59,-,60525000,3.52
2013-05-06,3.59,3.78,3.12,3.37,-,62356000,3.45
2013-05-07,3.37,3.41,2.94,3.33,-,58588300,3.17
2013-05-08,3.28,3.49,3.28,3.41,-,57196300,3.38
2013-05-09,3.40,3.44,3.29,3.42,-,59337100,3.37
2013-05-10,3.41,3.63,3.37,3.44,-,59588000,3.50
2013-05-11,3.46,3.48,3.30,3.35,-,60658000,3.39
2013-05-12,3.36,3.42,3.22,3.27,-,59052900,3.32
2013-05-13,3.26,3.37,3.20,3.28,-,57363200,3.29
2013-05-14,3.28,3.33,2.78,2.82,-,57812000,3.05
2013-05-15,2.82,3.04,2.64,2.94,-,49842500,2.84
2013-05-16,2.93,2.97,2.69,2.92,-,51790900,2.83
2013-05-17,2.89,3.34,2.87,3.19,-,51195900,3.10
2013-05-18,3.20,3.36,3.13,3.29,-,56721100,3.25
2013-05-19,3.30,3.41,3.19,3.30,-,58645400,3.30
2013-05-20,3.31,3.32,3.15,3.18,-,58962900,3.23
2013-05-21,3.19,3.22,3.04,3.09,-,56887600,3.13
2013-05-22,3.09,3.14,3.03,3.12,-,55165300,3.08
2013-05-23,3.12,3.19,3.09,3.18,-,55727000,3.14
2013-05-24,3.17,3.19,3.04,3.18,-,56747200,3.12
2013-05-25,3.19,3.20,3.05,3.12,-,57165800,3.12
2013-05-26,3.12,3.33,3.09,3.25,-,56123900,3.21
2013-05-27,3.23,3.26,3.02,3.10,-,58130800,3.14
2013-05-28,3.10,3.13,3.02,3.09,-,55916500,3.08
2013-05-29,3.09,3.12,3.02,3.10,-,55814300,3.07
2013-05-30,3.08,3.09,2.88,2.97,-,55640200,2.98
2013-05-31,2.97,2.99,2.69,2.96,-,53813700,2.84
2013-06-01,2.94,2.97,2.80,2.83,-,53372200,2.88
2013-06-02,2.83,2.86,2.56,2.73,-,51378100,2.71
2013-06-03,2.73,2.75,2.61,2.73,-,49688400,2.68
2013-06-04,2.70,2.90,2.70,2.87,-,49268800,2.80
2013-06-05,2.87,2.99,2.81,2.86,-,52338100,2.90
2013-06-06,2.88,2.91,2.74,2.75,-,52595600,2.83
2013-06-07,2.78,2.79,2.51,2.60,-,50890900,2.65
2013-06-08,2.60,2.66,2.54,2.56,-,47770700,2.60
2013-06-09,2.55,2.59,2.07,2.38,-,46911500,2.33
2013-06-10,2.38,2.58,2.26,2.49,-,43883900,2.42
2013-06-11,2.49,2.50,2.18,2.40,-,45951500,2.34
2013-06-12,2.41,2.45,2.31,2.38,-,44532400,2.38
2013-06-13,2.40,2.49,2.23,2.27,-,44356700,2.36
2013-06-14,2.27,2.29,2.09,2.13,-,42035700,2.19
2013-06-15,2.14,2.21,2.05,2.11,-,39693000,2.13
2013-06-16,2.09,2.15,2.02,2.13,-,38754600,2.08
2013-06-17,2.14,2.29,2.09,2.28,-,39791100,2.19
2013-06-18,2.28,2.37,2.19,2.31,-,42507000,2.28
2013-06-19,2.30,2.34,2.25,2.30,-,43009600,2.29
2013-06-20,2.30,2.40,2.27,2.29,-,42968900,2.33
2013-06-21,2.33,2.87,2.27,2.87,-,43568400,2.57
2013-06-22,2.86,3.58,2.66,2.92,-,53719800,3.12
2013-06-23,2.90,3.34,2.90,3.12,-,54440600,3.12
2013-06-24,3.13,3.15,2.71,2.87,-,58990400,2.93
2013-06-25,2.85,2.91,2.77,2.82,-,53693400,2.84
2013-06-26,2.81,2.95,2.75,2.86,-,52981700,2.85
2013-06-27,2.88,3.03,2.84,3.02,-,54479500,2.93
2013-06-28,3.04,3.04,2.67,2.75,-,57524700,2.85
2013-06-29,2.76,2.93,2.70,2.79,-,52385700,2.82
