date,open,high,low,close,volume,market cap,average
2015-04-01,0.00,0.00,0.00,0.00,65525,3604110,0.00
2015-04-02,0.00,0.00,0.00,0.00,28549,2179320,0.00
2015-04-03,0.00,0.00,0.00,0.00,20678,2778750,0.00
2015-04-04,0.00,0.00,0.00,0.00,23550,2792120,0.00
2015-04-05,0.00,0.00,0.00,0.00,26800,2443720,0.00
2015-04-06,0.00,0.00,0.00,0.00,22512,2088380,0.00
2015-04-07,0.00,0.00,0.00,0.00,14437,2596140,0.00
2015-04-08,0.00,0.00,0.00,0.00,6933,2209250,0.00
2015-04-09,0.00,0.00,0.00,0.00,10014,2048560,0.00
2015-04-10,0.00,0.00,0.00,0.00,16846,2017780,0.00
2015-04-11,0.00,0.00,0.00,0.00,22846,1571870,0.00
2015-04-12,0.00,0.00,0.00,0.00,5569,1469950,0.00
2015-04-13,0.00,0.00,0.00,0.00,11803,1316600,0.00
2015-04-14,0.00,0.00,0.00,0.00,14654,1254160,0.00
2015-04-15,0.00,0.00,0.00,0.00,8196,1399610,0.00
2015-04-16,0.00,0.00,0.00,0.00,5317,1391420,0.00
2015-04-17,0.00,0.00,0.00,0.00,4556,1507870,0.00
2015-04-18,0.00,0.00,0.00,0.00,9117,1503010,0.00
2015-04-19,0.00,0.00,0.00,0.00,7193,1269820,0.00
2015-04-20,0.00,0.00,0.00,0.00,6681,1324160,0.00
2015-04-21,0.00,0.00,0.00,0.00,3912,1194180,0.00
2015-04-22,0.00,0.00,0.00,0.00,2353,1233120,0.00
2015-04-23,0.00,0.00,0.00,0.00,2117,1244580,0.00
2015-04-24,0.00,0.00,0.00,0.00,3058,1234000,0.00
2015-04-25,0.00,0.00,0.00,0.00,2480,1345350,0.00
2015-04-26,0.00,0.00,0.00,0.00,2074,1263860,0.00
2015-04-27,0.00,0.00,0.00,0.00,6660,1205740,0.00
2015-04-28,0.00,0.00,0.00,0.00,3358,1442520,0.00
2015-04-29,0.00,0.00,0.00,0.00,2013,1337590,0.00
2015-04-30,0.00,0.00,0.00,0.00,959,1323030,0.00
2015-05-01,0.00,0.00,0.00,0.00,692,1412990,0.00
2015-05-02,0.00,0.00,0.00,0.00,1543,1381060,0.00
2015-05-03,0.00,0.00,0.00,0.00,4417,1395620,0.00
2015-05-04,0.00,0.00,0.00,0.00,2595,1340690,0.00
2015-05-05,0.00,0.00,0.00,0.00,3974,1355840,0.00
2015-05-06,0.00,0.00,0.00,0.00,1125,1270090,0.00
2015-05-07,0.00,0.00,0.00,0.00,2475,1281970,0.00
2015-05-08,0.00,0.00,0.00,0.00,1043,1407390,0.00
2015-05-09,0.00,0.00,0.00,0.00,623,1396760,0.00
2015-05-10,0.00,0.00,0.00,0.00,1774,1349300,0.00
2015-05-11,0.00,0.00,0.00,0.00,3367,1362660,0.00
2015-05-12,0.00,0.00,0.00,0.00,4765,1394760,0.00
2015-05-13,0.00,0.00,0.00,0.00,4187,1483990,0.00
2015-05-14,0.00,0.00,0.00,0.00,1647,1427580,0.00
2015-05-15,0.00,0.00,0.00,0.00,1260,1439930,0.00
2015-05-16,0.00,0.00,0.00,0.00,4958,1474940,0.00
2015-05-17,0.00,0.00,0.00,0.00,1049,1399200,0.00
2015-05-18,0.00,0.00,0.00,0.00,12653,1437570,0.00
2015-05-19,0.00,0.00,0.00,0.00,9163,1493820,0.00
2015-05-20,0.00,0.00,0.00,0.00,8928,1536820,0.00
2015-05-21,0.00,0.00,0.00,0.00,7586,1545760,0.00
2015-05-22,0.00,0.00,0.00,0.00,4136,1549800,0.00
2015-05-23,0.00,0.00,0.00,0.00,4560,1596980,0.00
2015-05-24,0.00,0.00,0.00,0.00,5675,1594140,0.00
2015-05-25,0.00,0.00,0.00,0.00,6871,1638490,0.00
2015-05-26,0.00,0.00,0.00,0.00,3845,1599720,0.00
2015-05-27,0.00,0.00,0.00,0.00,8659,1645670,0.00
2015-05-28,0.00,0.00,0.00,0.00,7217,1753140,0.00
2015-05-29,0.00,0.00,0.00,0.00,7999,1762160,0.00
2015-05-30,0.00,0.00,0.00,0.00,7228,1650510,0.00
2015-05-31,0.00,0.00,0.00,0.00,4684,1667200,0.00
2015-06-01,0.00,0.00,0.00,0.00,3525,1590560,0.00
2015-06-02,0.00,0.00,0.00,0.00,5642,1530820,0.00
2015-06-03,0.00,0.00,0.00,0.00,1820,1604330,0.00
2015-06-04,0.00,0.00,0.00,0.00,2220,1595180,0.00
2015-06-05,0.00,0.00,0.00,0.00,4105,1546270,0.00
2015-06-06,0.00,0.00,0.00,0.00,3364,1611430,0.00
2015-06-07,0.00,0.00,0.00,0.00,3360,1529050,0.00
2015-06-08,0.00,0.00,0.00,0.00,3110,1510060,0.00
2015-06-09,0.00,0.00,0.00,0.00,8723,1541750,0.00
2015-06-10,0.00,0.00,0.00,0.00,4577,1344300,0.00
2015-06-11,0.00,0.00,0.00,0.00,4653,1379440,0.00
2015-06-12,0.00,0.00,0.00,0.00,3589,1333110,0.00
2015-06-13,0.00,0.00,0.00,0.00,2980,1332020,0.00
2015-06-14,0.00,0.00,0.00,0.00,2903,1399050,0.00
2015-06-15,0.00,0.00,0.00,0.00,9550,1396540,0.00
2015-06-16,0.00,0.00,0.00,0.00,6374,1326840,0.00
2015-06-17,0.00,0.00,0.00,0.00,8668,1443470,0.00
2015-06-18,0.00,0.00,0.00,0.00,3683,1444400,0.00
2015-06-19,0.00,0.00,0.00,0.00,6743,1554080,0.00
2015-06-20,0.00,0.00,0.00,0.00,1488,1391420,0.00
2015-06-21,0.00,0.00,0.00,0.00,616,1420970,0.00
2015-06-22,0.00,0.00,0.00,0.00,4900,1448390,0.00
2015-06-23,0.00,0.00,0.00,0.00,2518,1406300,0.00
2015-06-24,0.00,0.00,0.00,0.00,1656,1419880,0.00
2015-06-25,0.00,0.00,0.00,0.00,2791,1404230,0.00
2015-06-26,0.00,0.00,0.00,0.00,3547,1389110,0.00
2015-06-27,0.00,0.00,0.00,0.00,4043,1335410,0.00
2015-06-28,0.00,0.00,0.00,0.00,1838,1409620,0.00
2015-06-29,0.00,0.00,0.00,0.00,2007,1366110,0.00
2015-06-30,0.00,0.00,0.00,0.00,5197,1346030,0.00
2015-07-01,0.00,0.00,0.00,0.00,2224,1453660,0.00
2015-07-02,0.00,0.00,0.00,0.00,1323,1279500,0.00
2015-07-03,0.00,0.00,0.00,0.00,3873,1290670,0.00
2015-07-04,0.00,0.00,0.00,0.00,1575,1292130,0.00
2015-07-05,0.00,0.00,0.00,0.00,3717,1268850,0.00
2015-07-06,0.00,0.00,0.00,0.00,521,1155430,0.00
2015-07-07,0.00,0.00,0.00,0.00,3977,1133560,0.00
2015-07-08,0.00,0.00,0.00,0.00,2407,1280690,0.00
2015-07-09,0.00,0.00,0.00,0.00,1678,1446360,0.00
2015-07-10,0.00,0.00,0.00,0.00,3166,1296490,0.00
2015-07-11,0.00,0.00,0.00,0.00,5422,1303490,0.00
2015-07-12,0.00,0.00,0.00,0.00,3108,1453080,0.00
2015-07-13,0.00,0.00,0.00,0.00,3229,1417480,0.00
2015-07-14,0.00,0.00,0.00,0.00,970,1413370,0.00
2015-07-15,0.00,0.00,0.00,0.00,746,1420690,0.00
2015-07-16,0.00,0.00,0.00,0.00,1869,1333850,0.00
2015-07-17,0.00,0.00,0.00,0.00,191,1279530,0.00
2015-07-18,0.00,0.00,0.00,0.00,783,1337300,0.00
2015-07-19,0.00,0.00,0.00,0.00,898,1310970,0.00
2015-07-20,0.00,0.00,0.00,0.00,4446,1297720,0.00
2015-07-21,0.00,0.00,0.00,0.00,2177,1336880,0.00
2015-07-22,0.00,0.00,0.00,0.00,1237,1337450,0.00
2015-07-23,0.00,0.00,0.00,0.00,2965,1280660,0.00
2015-07-24,0.00,0.00,0.00,0.00,20017,1313850,0.00
2015-07-25,0.00,0.00,0.00,0.00,6331,1582230,0.00
2015-07-26,0.00,0.00,0.00,0.00,3001,1638760,0.00
2015-07-27,0.00,0.00,0.00,0.00,4905,1556100,0.00
2015-07-28,0.00,0.00,0.00,0.00,3019,1467380,0.00
2015-07-29,0.00,0.00,0.00,0.00,1294,1562880,0.00
2015-07-30,0.00,0.00,0.00,0.00,1904,1451930,0.00
2015-07-31,0.00,0.00,0.00,0.00,798,1496260,0.00
2015-08-01,0.00,0.00,0.00,0.00,1445,1473700,0.00
2015-08-02,0.00,0.00,0.00,0.00,2565,1465340,0.00
2015-08-03,0.00,0.00,0.00,0.00,2002,1382850,0.00
2015-08-04,0.00,0.00,0.00,0.00,2833,1386140,0.00
2015-08-05,0.00,0.00,0.00,0.00,4230,1334650,0.00
2015-08-06,0.00,0.00,0.00,0.00,952,1331060,0.00
2015-08-07,0.00,0.00,0.00,0.00,1811,1266520,0.00
2015-08-08,0.00,0.00,0.00,0.00,3307,1304060,0.00
2015-08-09,0.00,0.00,0.00,0.00,8393,1223400,0.00
2015-08-10,0.00,0.00,0.00,0.00,1268,1165610,0.00
2015-08-11,0.00,0.00,0.00,0.00,3006,1218210,0.00
2015-08-12,0.00,0.00,0.00,0.00,5295,1213900,0.00
2015-08-13,0.00,0.00,0.00,0.00,3420,1151620,0.00
2015-08-14,0.00,0.00,0.00,0.00,1770,1110840,0.00
2015-08-15,0.00,0.00,0.00,0.00,2058,1086420,0.00
2015-08-16,0.00,0.00,0.00,0.00,2245,1075770,0.00
2015-08-17,0.00,0.00,0.00,0.00,1511,1102690,0.00
2015-08-18,0.00,0.00,0.00,0.00,2207,1068820,0.00
2015-08-19,0.00,0.00,0.00,0.00,713,886954,0.00
2015-08-20,0.00,0.00,0.00,0.00,148,903222,0.00
2015-08-21,0.00,0.00,0.00,0.00,651,954297,0.00
2015-08-22,0.00,0.00,0.00,0.00,481,911403,0.00
2015-08-23,0.00,0.00,0.00,0.00,111,911169,0.00
2015-08-24,0.00,0.00,0.00,0.00,1331,883014,0.00
2015-08-25,0.00,0.00,0.00,0.00,1988,833526,0.00
2015-08-26,0.00,0.00,0.00,0.00,1348,776234,0.00
2015-08-27,0.00,0.00,0.00,0.00,833,810572,0.00
2015-08-28,0.00,0.00,0.00,0.00,1852,882696,0.00
2015-08-29,0.00,0.00,0.00,0.00,436,839895,0.00
2015-08-30,0.00,0.00,0.00,0.00,1193,862945,0.00
2015-08-31,0.00,0.00,0.00,0.00,588,936945,0.00
2015-09-01,0.00,0.00,0.00,0.00,527,848213,0.00
2015-09-02,0.00,0.00,0.00,0.00,897,903015,0.00
2015-09-03,0.00,0.00,0.00,0.00,333,792863,0.00
2015-09-04,0.00,0.00,0.00,0.00,233,800916,0.00
2015-09-05,0.00,0.00,0.00,0.00,1099,869038,0.00
2015-09-06,0.00,0.00,0.00,0.00,902,771348,0.00
2015-09-07,0.00,0.00,0.00,0.00,315,863410,0.00
2015-09-08,0.00,0.00,0.00,0.00,419,863050,0.00
2015-09-09,0.00,0.00,0.00,0.00,1343,894429,0.00
2015-09-10,0.00,0.00,0.00,0.00,2545,813119,0.00
2015-09-11,0.00,0.00,0.00,0.00,590,819178,0.00
2015-09-12,0.00,0.00,0.00,0.00,233,848764,0.00
2015-09-13,0.00,0.00,0.00,0.00,659,783983,0.00
2015-09-14,0.00,0.00,0.00,0.00,95,809995,0.00
2015-09-15,0.00,0.00,0.00,0.00,2995,809295,0.00
2015-09-16,0.00,0.00,0.00,0.00,10004,887120,0.00
2015-09-17,0.00,0.00,0.00,0.00,5428,954054,0.00
2015-09-18,0.00,0.00,0.00,0.00,1354,973827,0.00
2015-09-19,0.00,0.00,0.00,0.00,1440,902358,0.00
2015-09-20,0.00,0.00,0.00,0.00,1250,916605,0.00
2015-09-21,0.00,0.00,0.00,0.00,3745,897869,0.00
2015-09-22,0.00,0.00,0.00,0.00,7599,918909,0.00
2015-09-23,0.00,0.00,0.00,0.00,1843,1166180,0.00
2015-09-24,0.00,0.00,0.00,0.00,987,1081340,0.00
2015-09-25,0.00,0.00,0.00,0.00,1853,1046760,0.00
2015-09-26,0.00,0.00,0.00,0.00,2186,1208870,0.00
2015-09-27,0.00,0.00,0.00,0.00,1636,1180660,0.00
2015-09-28,0.00,0.00,0.00,0.00,1641,1188700,0.00
2015-09-29,0.00,0.00,0.00,0.00,9728,1248540,0.00
2015-09-30,0.00,0.00,0.00,0.00,5864,1338340,0.00
2015-10-01,0.00,0.00,0.00,0.00,11660,1358740,0.00
2015-10-02,0.00,0.00,0.00,0.00,6645,1574540,0.00
2015-10-03,0.00,0.00,0.00,0.00,5007,1338390,0.00
2015-10-04,0.00,0.00,0.00,0.00,1783,1140040,0.00
2015-10-05,0.00,0.00,0.00,0.00,1640,1098070,0.00
2015-10-06,0.00,0.00,0.00,0.00,1030,1070640,0.00
2015-10-07,0.00,0.00,0.00,0.00,1230,1111120,0.00
2015-10-08,0.00,0.00,0.00,0.00,3949,1223560,0.00
2015-10-09,0.00,0.00,0.00,0.00,1174,1063210,0.00
2015-10-10,0.00,0.00,0.00,0.00,352,1052710,0.00
2015-10-11,0.00,0.00,0.00,0.00,1191,1009060,0.00
2015-10-12,0.00,0.00,0.00,0.00,331,977202,0.00
2015-10-13,0.00,0.00,0.00,0.00,1360,1054990,0.00
2015-10-14,0.00,0.00,0.00,0.00,1192,1068520,0.00
2015-10-15,0.00,0.00,0.00,0.00,2831,1039470,0.00
2015-10-16,0.00,0.00,0.00,0.00,1009,1014130,0.00
2015-10-17,0.00,0.00,0.00,0.00,3306,1051960,0.00
2015-10-18,0.00,0.00,0.00,0.00,319,1112660,0.00
2015-10-19,0.00,0.00,0.00,0.00,946,1115230,0.00
2015-10-20,0.00,0.00,0.00,0.00,717,974502,0.00
2015-10-21,0.00,0.00,0.00,0.00,95,1052530,0.00
2015-10-22,0.00,0.00,0.00,0.00,280,1055670,0.00
2015-10-23,0.00,0.00,0.00,0.00,785,1062290,0.00
2015-10-24,0.00,0.00,0.00,0.00,639,1070000,0.00
2015-10-25,0.00,0.00,0.00,0.00,1356,1105300,0.00
2015-10-26,0.00,0.00,0.00,0.00,550,1071830,0.00
2015-10-27,0.00,0.00,0.00,0.00,483,1021850,0.00
2015-10-28,0.00,0.00,0.00,0.00,833,1054810,0.00
2015-10-29,0.00,0.00,0.00,0.00,1930,1080480,0.00
2015-10-30,0.00,0.00,0.00,0.00,3174,1241460,0.00
2015-10-31,0.00,0.00,0.00,0.00,530,1419010,0.00
2015-11-01,0.00,0.00,0.00,0.00,950,1226560,0.00
2015-11-02,0.00,0.00,0.00,0.00,419,1348540,0.00
2015-11-03,0.00,0.00,0.00,0.00,3720,1463990,0.00
2015-11-04,0.00,0.00,0.00,0.00,1613,1555110,0.00
2015-11-05,0.00,0.00,0.00,0.00,1455,1353420,0.00
2015-11-06,0.00,0.00,0.00,0.00,217,1357870,0.00
2015-11-07,0.00,0.00,0.00,0.00,218,1276320,0.00
2015-11-08,0.00,0.00,0.00,0.00,484,1475970,0.00
2015-11-09,0.00,0.00,0.00,0.00,352,1278300,0.00
2015-11-10,0.00,0.00,0.00,0.00,398,1337270,0.00
2015-11-11,0.00,0.00,0.00,0.00,686,1188270,0.00
2015-11-12,0.00,0.00,0.00,0.00,708,1139010,0.00
2015-11-13,0.00,0.00,0.00,0.00,77,1183480,0.00
2015-11-14,0.00,0.00,0.00,0.00,112,1150090,0.00
2015-11-15,0.00,0.00,0.00,0.00,2260,1144000,0.00
2015-11-16,0.00,0.00,0.00,0.00,1355,1007210,0.00
2015-11-17,0.00,0.00,0.00,0.00,6187,1161680,0.00
2015-11-18,0.00,0.00,0.00,0.00,3405,902826,0.00
2015-11-19,0.00,0.00,0.00,0.00,616,979074,0.00
2015-11-20,0.00,0.00,0.00,0.00,69,999873,0.00
2015-11-21,0.00,0.00,0.00,0.00,778,1020430,0.00
2015-11-22,0.00,0.00,0.00,0.00,686,929880,0.00
2015-11-23,0.00,0.00,0.00,0.00,92,898880,0.00
2015-11-24,0.00,0.00,0.00,0.00,179,955314,0.00
2015-11-25,0.00,0.00,0.00,0.00,772,897112,0.00
