date,open,high,low,close,volume,market cap,average
2016-09-09,0.18,0.56,0.18,0.56,1349,-,0.37
2016-09-10,0.56,0.56,0.37,0.39,811,-,0.47
2016-09-11,0.39,0.40,0.37,0.38,879,-,0.39
2016-09-12,0.38,0.38,0.36,0.37,1116,-,0.37
2016-09-13,0.37,0.38,0.30,0.31,3337,-,0.34
2016-09-14,0.31,0.34,0.31,0.33,4129,-,0.32
2016-09-15,0.33,0.37,0.33,0.35,1982,-,0.35
2016-09-16,0.35,0.39,0.35,0.39,15105,-,0.37
2016-09-17,0.39,0.43,0.39,0.43,21060,-,0.41
2016-09-18,0.43,0.43,0.38,0.38,105159,-,0.41
2016-09-19,0.38,0.38,0.33,0.33,1448,-,0.36
2016-09-20,0.33,0.34,0.31,0.31,1171,-,0.32
2016-09-21,0.31,0.32,0.30,0.30,156,-,0.31
2016-09-22,0.30,0.31,0.25,0.25,54002,-,0.28
2016-09-23,0.25,0.28,0.24,0.24,16845,-,0.26
2016-09-24,0.24,0.25,0.21,0.21,21740,-,0.23
2016-09-25,0.21,0.22,0.19,0.20,3075,-,0.21
2016-09-26,0.20,0.22,0.19,0.20,9657,-,0.21
2016-09-27,0.20,0.20,0.18,0.20,19806,-,0.19
2016-09-28,0.20,0.21,0.18,0.19,6354,-,0.20
2016-09-29,0.19,0.21,0.18,0.19,11050,-,0.19
2016-09-30,0.19,0.19,0.18,0.18,2032,-,0.19
2016-10-01,0.18,0.22,0.18,0.20,2748,-,0.20
2016-10-02,0.20,0.20,0.18,0.18,4178,-,0.19
2016-10-03,0.18,0.19,0.18,0.18,913,-,0.19
2016-10-04,0.18,0.19,0.18,0.19,506,-,0.18
2016-10-05,0.19,0.29,0.18,0.29,1864,-,0.23
2016-10-06,0.29,0.29,0.18,0.18,2612,-,0.24
2016-10-07,0.18,0.20,0.18,0.20,5785,-,0.19
2016-10-08,0.20,0.22,0.19,0.21,31830,-,0.20
2016-10-09,0.21,0.21,0.18,0.19,30052,-,0.19
2016-10-10,0.19,0.20,0.18,0.19,11204,-,0.19
2016-10-11,0.19,0.20,0.18,0.19,5949,-,0.19
2016-10-12,0.19,0.19,0.18,0.19,12201,-,0.18
2016-10-13,0.19,0.19,0.18,0.19,1318,-,0.18
2016-10-14,0.19,0.19,0.18,0.19,2335,-,0.18
2016-10-15,0.19,0.19,0.18,0.18,596,-,0.19
2016-10-16,0.18,0.19,0.18,0.18,16019,-,0.18
2016-10-17,0.18,0.19,0.18,0.19,12989,-,0.18
2016-10-18,0.19,0.29,0.18,0.20,406917,-,0.23
2016-10-19,0.20,0.21,0.11,0.12,228476,-,0.16
2016-10-20,0.12,0.12,0.09,0.09,286750,-,0.10
2016-10-21,0.09,0.09,0.07,0.08,269793,-,0.08
2016-10-22,0.08,0.10,0.08,0.08,293121,-,0.09
2016-10-23,0.08,0.09,0.08,0.08,107073,-,0.08
2016-10-24,0.08,0.10,0.08,0.09,522611,-,0.09
2016-10-25,0.09,0.32,0.09,0.14,365986,-,0.21
2016-10-26,0.14,0.17,0.12,0.13,494772,6785000,0.15
2016-10-27,0.13,0.14,0.12,0.13,169528,6480400,0.13
2016-10-28,0.13,0.16,0.12,0.15,545958,6372350,0.14
2016-10-29,0.15,0.18,0.15,0.17,714101,7561850,0.16
2016-10-30,0.17,0.18,0.17,0.18,377793,8647300,0.18
2016-10-31,0.18,0.23,0.18,0.23,917488,9080500,0.20
2016-11-01,0.23,0.24,0.20,0.21,411699,11411600,0.22
2016-11-02,0.21,0.22,0.19,0.20,242163,10732300,0.21
2016-11-03,0.20,0.20,0.16,0.17,265799,9898100,0.18
2016-11-04,0.17,0.18,0.17,0.18,123337,8678700,0.18
2016-11-05,0.18,0.18,0.16,0.16,165265,8796700,0.17
2016-11-06,0.16,0.17,0.16,0.16,52679,8040000,0.16
2016-11-07,0.16,0.17,0.14,0.17,264007,8197850,0.16
2016-11-08,0.17,0.17,0.16,0.16,64487,8653650,0.17
2016-11-09,0.16,0.17,0.16,0.16,51101,8079950,0.16
2016-11-10,0.16,0.18,0.15,0.17,226859,7967100,0.17
2016-11-11,0.17,0.18,0.17,0.18,92296,8414650,0.17
2016-11-12,0.17,0.18,0.17,0.17,38920,8630150,0.17
2016-11-13,0.17,0.17,0.16,0.17,47661,8434950,0.17
