date,open,high,low,close,volume,market cap,average
2017-09-01,0.02,0.02,0.02,0.02,161492,-,0.02
2017-09-02,0.02,0.03,0.01,0.02,99843,-,0.02
2017-09-03,0.02,0.03,0.01,0.02,140495,-,0.02
2017-09-04,0.02,0.02,0.01,0.01,103525,-,0.01
2017-09-05,0.01,0.03,0.01,0.01,127003,-,0.02
2017-09-06,0.01,0.02,0.01,0.01,119650,-,0.01
2017-09-07,0.01,0.05,0.01,0.01,72545,-,0.03
2017-09-08,0.01,0.02,0.01,0.01,213181,28531900,0.01
2017-09-09,0.01,0.01,0.01,0.01,83748,22207600,0.01
2017-09-10,0.01,0.01,0.01,0.01,32870,19969800,0.01
2017-09-11,0.01,0.02,0.01,0.01,106634,19782200,0.02
2017-09-12,0.01,0.01,0.01,0.01,56947,18471500,0.01
2017-09-13,0.01,0.01,0.01,0.01,45472,19593400,0.01
2017-09-14,0.01,0.01,0.01,0.01,65991,20453200,0.01
2017-09-15,0.01,0.01,0.01,0.01,75372,13091200,0.01
2017-09-16,0.01,0.01,0.01,0.01,59672,16835300,0.01
2017-09-17,0.01,0.01,0.01,0.01,86049,18861900,0.01
2017-09-18,0.01,0.06,0.01,0.01,55254,18335800,0.04
2017-09-19,0.01,0.02,0.01,0.01,65947,20587700,0.01
2017-09-20,0.01,0.01,0.01,0.01,87763,15749400,0.01
2017-09-21,0.01,0.01,0.01,0.01,60941,17356500,0.01
2017-09-22,0.01,0.01,0.01,0.01,24651,17026100,0.01
2017-09-23,0.01,0.01,0.01,0.01,17068,17390500,0.01
2017-09-24,0.01,0.01,0.01,0.01,32659,17052000,0.01
2017-09-25,0.01,0.01,0.01,0.01,144352,14250100,0.01
2017-09-26,0.01,0.01,0.01,0.01,91471,23416800,0.01
2017-09-27,0.01,0.01,0.01,0.01,68893,17203600,0.01
2017-09-28,0.01,0.01,0.01,0.01,26190,17895700,0.01
2017-09-29,0.01,0.01,0.01,0.01,37634,18432400,0.01
2017-09-30,0.01,0.01,0.01,0.01,24732,17511800,0.01
2017-10-01,0.01,0.01,0.01,0.01,46509,18690800,0.01
2017-10-02,0.01,0.01,0.01,0.01,66992,19785700,0.01
2017-10-03,0.01,0.01,0.01,0.01,46145,20983300,0.01
2017-10-04,0.01,0.01,0.01,0.01,44430,18347200,0.01
2017-10-05,0.01,0.01,0.01,0.01,21259,18900000,0.01
2017-10-06,0.01,0.01,0.01,0.01,63153,19446200,0.01
2017-10-07,0.01,0.01,0.01,0.01,90786,21658100,0.01
2017-10-08,0.01,0.01,0.01,0.01,27163,23683300,0.01
2017-10-09,0.01,0.01,0.01,0.01,43083,20408700,0.01
2017-10-10,0.01,0.01,0.01,0.01,91298,17975500,0.01
2017-10-11,0.01,0.01,0.01,0.01,133859,17175600,0.01
2017-10-12,0.01,0.01,0.01,0.01,45654,17950800,0.01
2017-10-13,0.01,0.01,0.00,0.01,213735,15720800,0.01
2017-10-14,0.01,0.01,0.01,0.01,102872,13834000,0.01
2017-10-15,0.01,0.01,0.01,0.01,37256,16031900,0.01
2017-10-16,0.01,0.01,0.01,0.01,165139,14343000,0.01
2017-10-17,0.01,0.01,0.01,0.01,30453,14343300,0.01
2017-10-18,0.01,0.01,0.01,0.01,127474,12172300,0.01
2017-10-19,0.01,0.01,0.01,0.01,42798,12726900,0.01
2017-10-20,0.01,0.01,0.01,0.01,54175,13882200,0.01
2017-10-21,0.01,0.01,0.01,0.01,125123,12832000,0.01
2017-10-22,0.01,0.01,0.01,0.01,26316,13332700,0.01
2017-10-23,0.01,0.01,0.00,0.01,104142,13050800,0.01
2017-10-24,0.01,0.01,0.00,0.01,93244,12860000,0.01
2017-10-25,0.01,0.01,0.00,0.00,30322,10768100,0.01
2017-10-26,0.00,0.01,0.00,0.00,46198,10300400,0.00
2017-10-27,0.00,0.01,0.00,0.00,127870,9900920,0.00
2017-10-28,0.01,0.01,0.00,0.00,8988,10723400,0.01
2017-10-29,0.00,0.01,0.00,0.00,18647,10551400,0.01
2017-10-30,0.00,0.01,0.00,0.00,12570,10159100,0.00
2017-10-31,0.00,0.01,0.00,0.00,26859,10545400,0.01
2017-11-01,0.01,0.01,0.00,0.01,32638,11661800,0.01
2017-11-02,0.01,0.01,0.00,0.00,7596,11199400,0.00
2017-11-03,0.00,0.01,0.00,0.00,10708,9357740,0.00
2017-11-04,0.00,0.01,0.00,0.01,8073,9997300,0.00
2017-11-05,0.01,0.01,0.00,0.01,19658,10941100,0.01
2017-11-06,0.01,0.01,0.01,0.01,9382,11495600,0.01
2017-11-07,0.01,0.01,0.01,0.01,17604,11405900,0.01
2017-11-08,0.01,0.01,0.01,0.01,42132,13724400,0.01
2017-11-09,0.01,0.01,0.01,0.01,33332,15874300,0.01
2017-11-10,0.01,0.01,0.01,0.01,15536,14191000,0.01
2017-11-11,0.01,0.01,0.01,0.01,5904,14330300,0.01
2017-11-12,0.01,0.01,0.00,0.01,11869,14009100,0.01
2017-11-13,0.01,0.01,0.01,0.01,9023,11588700,0.01
2017-11-14,0.01,0.01,0.01,0.01,22453,12057300,0.01
2017-11-15,0.01,0.01,0.01,0.01,10607,12451800,0.01
2017-11-16,0.01,0.01,0.01,0.01,22487,12282300,0.01
2017-11-17,0.01,0.01,0.01,0.01,34883,12528600,0.01
2017-11-18,0.01,0.01,0.01,0.01,21061,13386300,0.01
2017-11-19,0.01,0.01,0.01,0.01,15736,15210300,0.01
2017-11-20,0.01,0.01,0.01,0.01,2043530,13937600,0.01
2017-11-21,0.01,0.01,0.01,0.01,584332,16915800,0.01
2017-11-22,0.01,0.01,0.01,0.01,445876,14710100,0.01
2017-11-23,0.01,0.01,0.01,0.01,296102,14909600,0.01
2017-11-24,0.01,0.01,0.01,0.01,357997,16072000,0.01
2017-11-25,0.01,0.01,0.01,0.01,170209,16652600,0.01
2017-11-26,0.01,0.01,0.01,0.01,235274,16649800,0.01
2017-11-27,0.01,0.01,0.01,0.01,977590,16379100,0.01
2017-11-28,0.01,0.01,0.01,0.01,585765,18100900,0.01
2017-11-29,0.01,0.01,0.01,0.01,572222,16908600,0.01
2017-11-30,0.01,0.01,0.01,0.01,977170,13026300,0.01
2017-12-01,0.01,0.01,0.01,0.01,315082,17570300,0.01
2017-12-02,0.01,0.01,0.01,0.01,259989,19935800,0.01
2017-12-03,0.01,0.01,0.01,0.01,343912,17729300,0.01
2017-12-04,0.01,0.01,0.01,0.01,322515,16328800,0.01
2017-12-05,0.01,0.01,0.01,0.01,481862,16204400,0.01
2017-12-06,0.01,0.01,0.01,0.01,1087550,17054500,0.01
2017-12-07,0.01,0.01,0.01,0.01,2065900,18781300,0.01
2017-12-08,0.01,0.01,0.01,0.01,826302,20724800,0.01
2017-12-09,0.01,0.01,0.01,0.01,382293,19568900,0.01
2017-12-10,0.01,0.01,0.01,0.01,625103,18401200,0.01
2017-12-11,0.01,0.01,0.01,0.01,582241,19645900,0.01
2017-12-12,0.01,0.01,0.01,0.01,906068,19542600,0.01
2017-12-13,0.01,0.01,0.01,0.01,1715630,20195000,0.01
2017-12-14,0.01,0.02,0.01,0.01,7772400,24426100,0.01
2017-12-15,0.01,0.02,0.01,0.01,5605540,31833600,0.01
2017-12-16,0.01,0.02,0.01,0.02,9148000,31691300,0.02
2017-12-17,0.02,0.04,0.02,0.03,28723400,46178300,0.03
2017-12-18,0.03,0.04,0.03,0.03,14704700,74269800,0.03
2017-12-19,0.03,0.03,0.03,0.03,6414270,70716700,0.03
2017-12-20,0.03,0.03,0.03,0.03,6204670,65024700,0.03
2017-12-21,0.03,0.05,0.03,0.04,40329900,57153600,0.04
2017-12-22,0.04,0.05,0.02,0.03,13905500,90220100,0.03
2017-12-23,0.03,0.04,0.03,0.03,12529300,63582100,0.03
2017-12-24,0.04,0.04,0.03,0.03,4781030,76300000,0.03
2017-12-25,0.03,0.03,0.03,0.03,4957410,68838100,0.03
2017-12-26,0.03,0.03,0.03,0.03,4895430,67316600,0.03
2017-12-27,0.03,0.03,0.03,0.03,4565900,66227000,0.03
2017-12-28,0.03,0.03,0.03,0.03,7539100,67490300,0.03
2017-12-29,0.03,0.07,0.03,0.06,95785900,71388400,0.05
2017-12-30,0.06,0.14,0.05,0.10,253557000,129013000,0.10
2017-12-31,0.10,0.13,0.09,0.09,99970500,222498000,0.11
2018-01-01,0.10,0.11,0.08,0.09,41046800,208438000,0.09
2018-01-02,0.09,0.11,0.08,0.10,40641100,200431000,0.10
2018-01-03,0.10,0.12,0.09,0.11,35997900,211236000,0.10
2018-01-04,0.11,0.22,0.11,0.19,188219000,238966000,0.16
2018-01-05,0.18,0.28,0.15,0.21,180144000,401756000,0.21
2018-01-06,0.21,0.24,0.19,0.21,80339100,460101000,0.22
2018-01-07,0.22,0.22,0.19,0.19,54967100,473046000,0.20
2018-01-08,0.19,0.21,0.14,0.18,40001900,422260000,0.17
2018-01-09,0.19,0.19,0.15,0.16,31721300,408068000,0.17
2018-01-10,0.16,0.19,0.12,0.18,59497800,354804000,0.16
2018-01-11,0.17,0.19,0.13,0.14,44088500,380164000,0.16
2018-01-12,0.15,0.16,0.14,0.15,19391200,321689000,0.15
2018-01-13,0.15,0.16,0.13,0.14,19397300,339767000,0.15
2018-01-14,0.14,0.15,0.11,0.12,14873400,306965000,0.13
2018-01-15,0.12,0.15,0.10,0.10,25995500,260120000,0.13
2018-01-16,0.10,0.10,0.05,0.07,19716100,220047000,0.08
2018-01-17,0.07,0.10,0.06,0.09,37278000,157766000,0.08
2018-01-18,0.09,0.11,0.09,0.10,28719300,203212000,0.10
2018-01-19,0.10,0.14,0.10,0.12,54401000,217069000,0.12
2018-01-20,0.12,0.13,0.12,0.12,41205900,262518000,0.12
2018-01-21,0.12,0.13,0.09,0.10,18898800,264830000,0.11
2018-01-22,0.11,0.11,0.09,0.10,15727400,231708000,0.10
2018-01-23,0.10,0.11,0.08,0.10,19529400,210616000,0.10
2018-01-24,0.10,0.11,0.10,0.10,19840900,222311000,0.10
2018-01-25,0.10,0.11,0.10,0.10,10399200,217681000,0.10
2018-01-26,0.10,0.10,0.09,0.10,10977600,212433000,0.10
2018-01-27,0.10,0.10,0.10,0.10,5654360,215350000,0.10
2018-01-28,0.10,0.10,0.09,0.09,7764980,216051000,0.10
2018-01-29,0.09,0.11,0.09,0.11,49544500,205739000,0.10
2018-01-30,0.11,0.11,0.08,0.08,25544100,232228000,0.09
2018-01-31,0.08,0.09,0.08,0.08,6330770,185244000,0.08
2018-02-01,0.08,0.09,0.07,0.07,7532090,182232000,0.08
2018-02-02,0.07,0.07,0.05,0.06,8985750,159224000,0.06
2018-02-03,0.06,0.07,0.06,0.07,5323380,139938000,0.06
2018-02-04,0.07,0.07,0.05,0.06,5475460,150818000,0.06
2018-02-05,0.06,0.06,0.04,0.04,4046150,132154000,0.05
2018-02-06,0.04,0.06,0.03,0.05,7022120,97709600,0.05
2018-02-07,0.05,0.06,0.05,0.05,6038700,120685000,0.05
2018-02-08,0.05,0.06,0.05,0.05,6629680,107833000,0.05
2018-02-09,0.05,0.06,0.05,0.06,630487,121417000,0.06
2018-02-10,0.06,0.07,0.06,0.06,6815570,137640000,0.06
2018-02-11,0.06,0.07,0.05,0.06,19738600,128918000,0.06
2018-02-12,0.06,0.07,0.06,0.07,20048000,133695000,0.07
2018-02-13,0.07,0.07,0.06,0.07,9148050,151107000,0.07
2018-02-14,0.07,0.08,0.07,0.08,11556000,146470000,0.07
