date,open,high,low,close,volume,market cap,average
2017-10-20,0.06,0.06,0.05,0.06,5914220,-,0.06
2017-10-21,0.06,0.06,0.05,0.05,1639670,38608200,0.06
2017-10-22,0.05,0.06,0.05,0.05,1245180,33465500,0.05
2017-10-23,0.05,0.05,0.05,0.05,832145,32959500,0.05
2017-10-24,0.05,0.06,0.04,0.04,1284900,32449900,0.05
2017-10-25,0.04,0.05,0.04,0.05,931713,27517300,0.04
2017-10-26,0.05,0.05,0.04,0.05,565052,30455900,0.05
2017-10-27,0.05,0.05,0.04,0.05,4822410,29086600,0.05
2017-10-28,0.05,0.05,0.04,0.05,868531,31711300,0.05
2017-10-29,0.05,0.05,0.04,0.04,865314,28660900,0.05
2017-10-30,0.04,0.05,0.04,0.04,792476,28158700,0.05
2017-10-31,0.04,0.05,0.04,0.04,988661,28283500,0.04
2017-11-01,0.04,0.04,0.03,0.04,999690,24483900,0.04
2017-11-02,0.04,0.04,0.03,0.03,797942,22642500,0.03
2017-11-03,0.03,0.04,0.03,0.04,1218340,21206400,0.04
2017-11-04,0.04,0.04,0.04,0.04,599526,28407500,0.04
2017-11-05,0.04,0.04,0.04,0.04,504456,26732000,0.04
2017-11-06,0.04,0.05,0.04,0.05,891474,27460700,0.04
2017-11-07,0.05,0.06,0.05,0.05,2508120,30010000,0.05
2017-11-08,0.05,0.06,0.05,0.06,2132430,33482800,0.05
2017-11-09,0.06,0.07,0.06,0.07,3332220,35705600,0.06
2017-11-10,0.07,0.07,0.05,0.06,2281420,43404300,0.06
2017-11-11,0.06,0.06,0.05,0.06,1236560,36513000,0.06
2017-11-12,0.06,0.06,0.04,0.05,2727640,35246400,0.05
2017-11-13,0.05,0.06,0.05,0.06,1433980,30421000,0.05
2017-11-14,0.06,0.06,0.05,0.06,1356620,36447700,0.06
2017-11-15,0.06,0.06,0.05,0.06,1206350,35729700,0.06
2017-11-16,0.06,0.06,0.05,0.05,1434370,35631500,0.05
2017-11-17,0.05,0.05,0.04,0.05,1170020,32844300,0.05
2017-11-18,0.05,0.05,0.04,0.05,850895,28866600,0.05
2017-11-19,0.05,0.05,0.05,0.05,735454,29930600,0.05
2017-11-20,0.05,0.05,0.05,0.05,1186050,32645600,0.05
2017-11-21,0.05,0.05,0.05,0.05,1077260,31800800,0.05
2017-11-22,0.05,0.06,0.05,0.06,1861860,29786800,0.05
2017-11-23,0.06,0.08,0.05,0.07,6487150,35450400,0.07
2017-11-24,0.07,0.07,0.06,0.07,5717520,45733900,0.07
