date,open,high,low,close,volume,market cap,average
2013-08-04,0.01,0.01,0.01,0.01,-,45921000,0.01
2013-08-05,0.01,0.01,0.01,0.01,-,45928400,0.01
2013-08-06,0.01,0.01,0.00,0.00,-,44067600,0.01
2013-08-07,0.00,0.00,0.00,0.00,-,36503500,0.00
2013-08-08,0.00,0.00,0.00,0.00,-,34372500,0.00
2013-08-09,0.00,0.00,0.00,0.00,-,33282700,0.00
2013-08-10,0.00,0.00,0.00,0.00,-,33547500,0.00
2013-08-11,0.00,0.00,0.00,0.00,-,33725000,0.00
2013-08-12,0.00,0.00,0.00,0.00,-,34511100,0.00
2013-08-13,0.00,0.00,0.00,0.00,-,34893700,0.00
2013-08-14,0.00,0.00,0.00,0.00,-,33359300,0.00
2013-08-15,0.00,0.00,0.00,0.00,-,29615000,0.00
2013-08-16,0.00,0.00,0.00,0.00,-,24092600,0.00
2013-08-17,0.00,0.01,0.00,0.01,-,24533400,0.00
2013-08-18,0.01,0.01,0.01,0.01,-,44458200,0.01
2013-08-19,0.01,0.01,0.01,0.01,-,43678200,0.01
2013-08-20,0.01,0.01,0.01,0.01,-,42031100,0.01
2013-08-21,0.01,0.01,0.01,0.01,-,47675800,0.01
2013-08-22,0.01,0.01,0.01,0.01,-,47928700,0.01
2013-08-23,0.01,0.01,0.00,0.01,-,40487300,0.01
2013-08-24,0.01,0.01,0.01,0.01,-,40176000,0.01
2013-08-25,0.01,0.01,0.01,0.01,-,43198100,0.01
2013-08-26,0.01,0.01,0.01,0.01,-,47719500,0.01
2013-08-27,0.01,0.01,0.01,0.01,-,50569200,0.01
2013-08-28,0.01,0.01,0.01,0.01,-,50433400,0.01
2013-08-29,0.01,0.01,0.01,0.01,-,48829100,0.01
2013-08-30,0.01,0.01,0.01,0.01,-,45034300,0.01
2013-08-31,0.01,0.01,0.01,0.01,-,46223800,0.01
2013-09-01,0.01,0.01,0.01,0.01,-,43960300,0.01
2013-09-02,0.01,0.01,0.01,0.01,-,45334600,0.01
2013-09-03,0.01,0.01,0.01,0.01,-,43139800,0.01
2013-09-04,0.01,0.01,0.01,0.01,-,44248300,0.01
2013-09-05,0.01,0.01,0.01,0.01,-,44529800,0.01
2013-09-06,0.01,0.01,0.01,0.01,-,44698500,0.01
2013-09-07,0.01,0.01,0.01,0.01,-,45756200,0.01
2013-09-08,0.01,0.01,0.01,0.01,-,48251900,0.01
2013-09-09,0.01,0.01,0.01,0.01,-,48417800,0.01
2013-09-10,0.01,0.01,0.01,0.01,-,49079900,0.01
2013-09-11,0.01,0.01,0.01,0.01,-,45397700,0.01
2013-09-12,0.01,0.01,0.01,0.01,-,49152200,0.01
2013-09-13,0.01,0.01,0.01,0.01,-,49521000,0.01
2013-09-14,0.01,0.01,0.01,0.01,-,50930100,0.01
2013-09-15,0.01,0.01,0.01,0.01,-,49633200,0.01
2013-09-16,0.01,0.01,0.01,0.01,-,50785700,0.01
2013-09-17,0.01,0.01,0.01,0.01,-,55397400,0.01
2013-09-18,0.01,0.01,0.01,0.01,-,75181400,0.01
2013-09-19,0.01,0.01,0.01,0.01,-,84227600,0.01
2013-09-20,0.01,0.01,0.01,0.01,-,85699700,0.01
2013-09-21,0.01,0.01,0.01,0.01,-,79006800,0.01
2013-09-22,0.01,0.01,0.01,0.01,-,76097500,0.01
2013-09-23,0.01,0.01,0.01,0.01,-,81265400,0.01
2013-09-24,0.01,0.01,0.01,0.01,-,78301600,0.01
2013-09-25,0.01,0.01,0.01,0.01,-,81768100,0.01
2013-09-26,0.01,0.01,0.01,0.01,-,81557000,0.01
2013-09-27,0.01,0.01,0.01,0.01,-,91973600,0.01
2013-09-28,0.01,0.01,0.01,0.01,-,117006000,0.01
2013-09-29,0.01,0.01,0.01,0.01,-,108254000,0.01
2013-09-30,0.01,0.01,0.01,0.01,-,100460000,0.01
2013-10-01,0.01,0.01,0.01,0.01,-,85261900,0.01
2013-10-02,0.01,0.01,0.01,0.01,-,82231700,0.01
2013-10-03,0.01,0.01,0.01,0.01,-,60813300,0.01
2013-10-04,0.01,0.01,0.01,0.01,-,69748000,0.01
2013-10-05,0.01,0.01,0.01,0.01,-,75642700,0.01
2013-10-06,0.01,0.01,0.01,0.01,-,74066400,0.01
2013-10-07,0.01,0.01,0.01,0.01,-,75587700,0.01
2013-10-08,0.01,0.01,0.01,0.01,-,72120200,0.01
2013-10-09,0.01,0.01,0.01,0.01,-,73796500,0.01
2013-10-10,0.01,0.01,0.01,0.01,-,75533700,0.01
2013-10-11,0.01,0.01,0.01,0.01,-,77269300,0.01
2013-10-12,0.01,0.01,0.01,0.01,-,69671600,0.01
2013-10-13,0.01,0.01,0.01,0.01,-,73347800,0.01
2013-10-14,0.01,0.01,0.01,0.01,-,66332400,0.01
2013-10-15,0.01,0.01,0.01,0.01,-,66484600,0.01
2013-10-16,0.01,0.01,0.01,0.01,-,63074800,0.01
2013-10-17,0.01,0.01,0.01,0.01,-,57051600,0.01
2013-10-18,0.01,0.01,0.01,0.01,-,65277700,0.01
2013-10-19,0.01,0.01,0.01,0.01,-,62073400,0.01
2013-10-20,0.01,0.01,0.01,0.01,-,56444800,0.01
2013-10-21,0.01,0.01,0.01,0.01,-,52433500,0.01
2013-10-22,0.01,0.01,0.01,0.01,-,51991300,0.01
2013-10-23,0.01,0.01,0.01,0.01,-,53384500,0.01
2013-10-24,0.01,0.01,0.01,0.01,-,61808600,0.01
2013-10-25,0.01,0.01,0.01,0.01,-,66998000,0.01
2013-10-26,0.01,0.01,0.01,0.01,-,53850600,0.01
2013-10-27,0.01,0.01,0.01,0.01,-,47218300,0.01
2013-10-28,0.01,0.01,0.01,0.01,-,53430600,0.01
2013-10-29,0.01,0.01,0.01,0.01,-,46453800,0.01
2013-10-30,0.01,0.01,0.01,0.01,-,47018500,0.01
2013-10-31,0.01,0.01,0.01,0.01,-,45756500,0.01
2013-11-01,0.01,0.01,0.01,0.01,-,47494500,0.01
2013-11-02,0.01,0.01,0.01,0.01,-,49616200,0.01
2013-11-03,0.01,0.01,0.01,0.01,-,53215000,0.01
2013-11-04,0.01,0.01,0.01,0.01,-,55876500,0.01
2013-11-05,0.01,0.01,0.01,0.01,-,54838300,0.01
2013-11-06,0.01,0.01,0.01,0.01,-,55794300,0.01
2013-11-07,0.01,0.01,0.01,0.01,-,60599400,0.01
2013-11-08,0.01,0.01,0.01,0.01,-,70229100,0.01
2013-11-09,0.01,0.01,0.01,0.01,-,83484100,0.01
2013-11-10,0.01,0.01,0.01,0.01,-,69261400,0.01
2013-11-11,0.01,0.01,0.01,0.01,-,67191600,0.01
2013-11-12,0.01,0.01,0.01,0.01,-,67988900,0.01
2013-11-13,0.01,0.01,0.01,0.01,-,74879700,0.01
2013-11-14,0.01,0.01,0.01,0.01,-,84591900,0.01
2013-11-15,0.01,0.01,0.01,0.01,-,75271300,0.01
2013-11-16,0.01,0.01,0.01,0.01,-,75592700,0.01
2013-11-17,0.01,0.01,0.01,0.01,-,79404000,0.01
2013-11-18,0.01,0.01,0.01,0.01,-,80536000,0.01
2013-11-19,0.01,0.01,0.01,0.01,-,82888400,0.01
2013-11-20,0.01,0.01,0.01,0.01,-,55771700,0.01
2013-11-21,0.01,0.01,0.01,0.01,-,58718600,0.01
2013-11-22,0.01,0.01,0.01,0.01,-,77849100,0.01
2013-11-23,0.01,0.01,0.01,0.01,-,74696500,0.01
2013-11-24,0.01,0.01,0.01,0.01,-,76403900,0.01
2013-11-25,0.01,0.02,0.01,0.02,-,91799200,0.02
2013-11-26,0.02,0.03,0.02,0.03,-,147429000,0.02
2013-11-27,0.03,0.03,0.02,0.02,-,234464000,0.03
2013-11-28,0.03,0.03,0.03,0.03,-,217958000,0.03
2013-11-29,0.03,0.03,0.03,0.03,-,228781000,0.03
2013-11-30,0.03,0.04,0.03,0.04,-,241572000,0.03
2013-12-01,0.04,0.06,0.04,0.05,-,306152000,0.05
2013-12-02,0.05,0.06,0.05,0.06,-,409530000,0.06
2013-12-03,0.06,0.06,0.05,0.05,-,433226000,0.05
2013-12-04,0.05,0.06,0.05,0.06,-,379569000,0.05
2013-12-05,0.06,0.06,0.05,0.06,-,459470000,0.06
2013-12-06,0.06,0.06,0.04,0.04,-,430054000,0.05
2013-12-07,0.04,0.04,0.03,0.03,-,329974000,0.04
2013-12-08,0.03,0.04,0.03,0.04,-,256084000,0.03
2013-12-09,0.04,0.04,0.04,0.04,-,284264000,0.04
2013-12-10,0.04,0.04,0.04,0.04,-,304037000,0.04
2013-12-11,0.04,0.04,0.04,0.04,-,342565000,0.04
2013-12-12,0.04,0.04,0.03,0.03,-,298030000,0.04
2013-12-13,0.03,0.04,0.03,0.04,-,270879000,0.04
2013-12-14,0.04,0.04,0.03,0.03,-,276998000,0.03
2013-12-15,0.03,0.03,0.03,0.03,-,250477000,0.03
2013-12-16,0.03,0.03,0.02,0.02,-,228375000,0.03
2013-12-17,0.02,0.02,0.02,0.02,-,167292000,0.02
