date,open,high,low,close,volume,market cap,average
2017-11-23,0.03,0.03,0.03,0.03,44095,-,0.03
2017-11-24,0.03,0.05,0.03,0.05,27275,-,0.04
2017-11-25,0.05,0.05,0.04,0.04,25982,-,0.04
2017-11-26,0.04,0.05,0.04,0.04,26446,-,0.04
2017-11-27,0.04,0.04,0.04,0.04,21244,-,0.04
2017-11-28,0.04,0.04,0.03,0.03,12529,-,0.03
2017-11-29,0.03,0.04,0.03,0.03,6765,-,0.03
2017-11-30,0.03,0.03,0.03,0.03,22145,-,0.03
2017-12-01,0.03,0.04,0.03,0.04,18881,-,0.04
2017-12-02,0.04,0.04,0.03,0.03,21573,-,0.03
2017-12-03,0.03,0.04,0.03,0.03,11969,-,0.03
2017-12-04,0.03,0.04,0.03,0.04,9780,-,0.03
2017-12-05,0.04,0.04,0.03,0.04,19697,-,0.04
2017-12-06,0.04,0.05,0.04,0.04,18710,-,0.04
2017-12-07,0.04,0.05,0.04,0.04,33254,-,0.05
2017-12-08,0.05,0.07,0.05,0.06,49707,-,0.06
2017-12-09,0.06,0.08,0.05,0.07,54088,16972700,0.06
2017-12-10,0.08,0.08,0.07,0.07,37283,22511100,0.07
2017-12-11,0.07,0.08,0.06,0.08,37060,21403900,0.07
2017-12-12,0.08,0.10,0.07,0.10,26956,24669100,0.08
2017-12-13,0.10,0.14,0.09,0.14,520321,28621100,0.11
2017-12-14,0.14,0.15,0.11,0.11,117663,41200100,0.13
2017-12-15,0.11,0.13,0.10,0.12,27606,33323200,0.11
2017-12-16,0.12,0.13,0.12,0.13,37669,36963500,0.12
2017-12-17,0.13,0.14,0.12,0.13,56379,37784100,0.13
2017-12-18,0.13,0.15,0.12,0.14,59744,39557900,0.14
2017-12-19,0.14,0.17,0.14,0.16,191959,42250700,0.15
2017-12-20,0.16,0.16,0.12,0.15,91600,48076200,0.14
2017-12-21,0.15,0.16,0.15,0.15,4310,45561400,0.16
2017-12-22,0.15,0.15,0.09,0.13,11436,45119600,0.12
2017-12-23,0.13,0.16,0.13,0.14,264204,38694400,0.14
2017-12-24,0.14,0.14,0.11,0.12,145143,42115600,0.13
2017-12-25,0.12,0.15,0.12,0.14,98260,37026400,0.14
2017-12-26,0.14,0.15,0.13,0.15,409609,43148800,0.14
2017-12-27,0.15,0.15,0.13,0.15,465145,44868000,0.14
2017-12-28,0.15,0.20,0.13,0.14,474673,43971800,0.17
2017-12-29,0.14,0.25,0.14,0.17,356350,42737400,0.19
2017-12-30,0.17,0.19,0.15,0.15,485653,50693000,0.17
2017-12-31,0.14,0.18,0.14,0.17,228927,43209100,0.16
2018-01-01,0.17,0.20,0.17,0.19,493987,51398400,0.18
2018-01-02,0.19,0.28,0.19,0.23,972129,55541500,0.23
2018-01-03,0.25,0.25,0.22,0.25,755338,75216600,0.23
2018-01-04,0.25,0.61,0.24,0.49,1217460,74812500,0.43
2018-01-05,0.49,0.49,0.31,0.36,1119310,147041000,0.40
2018-01-06,0.36,0.42,0.33,0.36,1212520,106932000,0.38
2018-01-07,0.35,0.44,0.34,0.42,1775440,105212000,0.39
2018-01-08,0.42,0.48,0.36,0.45,2108000,124730000,0.42
2018-01-09,0.45,0.56,0.45,0.54,16458300,135659000,0.51
2018-01-10,0.54,0.76,0.52,0.57,14077100,162422000,0.64
2018-01-11,0.57,0.62,0.49,0.49,4716730,172508000,0.55
2018-01-12,0.50,0.56,0.48,0.56,1934170,149269000,0.52
2018-01-13,0.56,0.66,0.56,0.64,3370260,168710000,0.61
2018-01-14,0.65,0.65,0.57,0.60,2222180,193753000,0.61
2018-01-15,0.59,0.61,0.53,0.54,2373000,178250000,0.57
2018-01-16,0.55,0.55,0.36,0.45,2355830,163782000,0.46
2018-01-17,0.45,0.48,0.33,0.43,1869680,134218000,0.40
2018-01-18,0.43,0.49,0.41,0.44,1748790,128902000,0.45
2018-01-19,0.43,0.46,0.41,0.41,931234,127733000,0.43
2018-01-20,0.42,0.53,0.42,0.49,1297840,124706000,0.47
2018-01-21,0.49,0.50,0.42,0.45,837201,148343000,0.46
2018-01-22,0.45,0.47,0.39,0.45,1163210,134856000,0.43
2018-01-23,0.45,0.48,0.41,0.42,852978,134088000,0.45
2018-01-24,0.42,0.47,0.41,0.45,1135030,126832000,0.44
2018-01-25,0.45,0.47,0.41,0.42,429297,135840000,0.44
2018-01-26,0.41,0.43,0.35,0.38,601654,123955000,0.39
2018-01-27,0.38,0.40,0.36,0.38,634675,114396000,0.38
2018-01-28,0.38,0.41,0.38,0.38,688449,113887000,0.40
2018-01-29,0.38,0.38,0.35,0.37,620447,114769000,0.37
2018-01-30,0.37,0.38,0.28,0.30,910680,111433000,0.33
2018-01-31,0.30,0.30,0.27,0.28,380338,90808900,0.29
2018-02-01,0.28,0.28,0.20,0.22,599158,84018400,0.24
2018-02-02,0.22,0.24,0.15,0.21,652104,65877900,0.20
2018-02-03,0.21,0.25,0.20,0.23,235493,63594100,0.22
2018-02-04,0.23,0.23,0.17,0.18,492068,68303000,0.20
2018-02-05,0.18,0.19,0.12,0.14,277187,54539600,0.16
2018-02-06,0.14,0.19,0.11,0.19,778210,42327300,0.15
2018-02-07,0.18,0.19,0.16,0.17,253716,55119200,0.18
2018-02-08,0.17,0.22,0.17,0.20,391048,50913600,0.19
2018-02-09,0.20,0.24,0.17,0.24,466503,59821400,0.21
2018-02-10,0.24,0.31,0.24,0.29,1085490,71659900,0.27
2018-02-11,0.28,0.29,0.23,0.25,494720,85140000,0.26
2018-02-12,0.25,0.29,0.25,0.28,312490,76466600,0.27
2018-02-13,0.28,0.28,0.25,0.25,400377,83467300,0.27
2018-02-14,0.24,0.26,0.22,0.25,1070630,73196300,0.24
