date,open,high,low,close,volume,market cap,average
2014-08-05,0.00,0.00,0.00,0.00,30316,772597,0.00
2014-08-06,0.00,0.00,0.00,0.00,35820,746554,0.00
2014-08-07,0.00,0.00,0.00,0.00,142864,976942,0.00
2014-08-08,0.00,0.00,0.00,0.00,93708,1075820,0.00
2014-08-09,0.00,0.00,0.00,0.00,233579,1261300,0.00
2014-08-10,0.00,0.01,0.00,0.00,352737,1652770,0.01
2014-08-11,0.00,0.01,0.00,0.00,479942,2351620,0.00
2014-08-12,0.00,0.00,0.00,0.00,345441,2274180,0.00
2014-08-13,0.00,0.00,0.00,0.00,256302,2237580,0.00
2014-08-14,0.00,0.00,0.00,0.00,169177,2580570,0.00
2014-08-15,0.00,0.00,0.00,0.00,135243,2513090,0.00
2014-08-16,0.00,0.00,0.00,0.00,116834,2429190,0.00
2014-08-17,0.00,0.00,0.00,0.00,61889,2576620,0.00
2014-08-18,0.00,0.00,0.00,0.00,104237,2421500,0.00
2014-08-19,0.00,0.00,0.00,0.00,66941,2114990,0.00
2014-08-20,0.00,0.00,0.00,0.00,96584,2318890,0.00
2014-08-21,0.00,0.00,0.00,0.00,76029,2595540,0.00
2014-08-22,0.00,0.00,0.00,0.00,50589,2495560,0.00
2014-08-23,0.00,0.00,0.00,0.00,43776,2460170,0.00
2014-08-24,0.00,0.00,0.00,0.00,37470,2333070,0.00
2014-08-25,0.00,0.00,0.00,0.00,38512,2332310,0.00
2014-08-26,0.00,0.00,0.00,0.00,99823,2316850,0.00
2014-08-27,0.00,0.00,0.00,0.00,60132,2379110,0.00
2014-08-28,0.00,0.00,0.00,0.00,90044,2368000,0.00
2014-08-29,0.00,0.00,0.00,0.00,43049,2278590,0.00
2014-08-30,0.00,0.00,0.00,0.00,39116,2314020,0.00
2014-08-31,0.00,0.00,0.00,0.00,22844,2284040,0.00
2014-09-01,0.00,0.00,0.00,0.00,27975,2149450,0.00
2014-09-02,0.00,0.00,0.00,0.00,23793,2094120,0.00
2014-09-03,0.00,0.00,0.00,0.00,36081,2084530,0.00
2014-09-04,0.00,0.00,0.00,0.00,58031,2296730,0.00
2014-09-05,0.00,0.00,0.00,0.00,26119,2386010,0.00
2014-09-06,0.00,0.00,0.00,0.00,31676,2342120,0.00
2014-09-07,0.00,0.00,0.00,0.00,34744,2328500,0.00
2014-09-08,0.00,0.00,0.00,0.00,105569,2319720,0.00
2014-09-09,0.00,0.00,0.00,0.00,51289,2586270,0.00
2014-09-10,0.00,0.00,0.00,0.00,59878,2501190,0.00
2014-09-11,0.00,0.00,0.00,0.00,113300,2590280,0.00
2014-09-12,0.00,0.00,0.00,0.00,117052,2902440,0.00
2014-09-13,0.00,0.00,0.00,0.00,111452,3539410,0.00
2014-09-14,0.00,0.00,0.00,0.00,113315,3635190,0.00
2014-09-15,0.00,0.00,0.00,0.00,72903,3394810,0.00
2014-09-16,0.00,0.00,0.00,0.00,86555,3600720,0.00
2014-09-17,0.00,0.00,0.00,0.00,118073,3568360,0.00
2014-09-18,0.00,0.00,0.00,0.00,205474,3697400,0.00
2014-09-19,0.00,0.00,0.00,0.00,204649,4160240,0.00
2014-09-20,0.00,0.00,0.00,0.00,186971,4760040,0.00
2014-09-21,0.00,0.00,0.00,0.00,145626,4374580,0.00
2014-09-22,0.00,0.00,0.00,0.00,178810,4234030,0.00
2014-09-23,0.00,0.00,0.00,0.00,120447,4903240,0.00
2014-09-24,0.00,0.00,0.00,0.00,163121,4860820,0.00
2014-09-25,0.00,0.00,0.00,0.00,81902,4800810,0.00
2014-09-26,0.00,0.00,0.00,0.00,117908,4503470,0.00
2014-09-27,0.00,0.00,0.00,0.00,44492,3829790,0.00
2014-09-28,0.00,0.00,0.00,0.00,77804,4128940,0.00
2014-09-29,0.00,0.00,0.00,0.00,32858,4038750,0.00
2014-09-30,0.00,0.00,0.00,0.00,21131,4131310,0.00
2014-10-01,0.00,0.00,0.00,0.00,70180,4147990,0.00
2014-10-02,0.00,0.00,0.00,0.00,30542,3745360,0.00
2014-10-03,0.00,0.00,0.00,0.00,34169,3582830,0.00
2014-10-04,0.00,0.00,0.00,0.00,45969,3433990,0.00
2014-10-05,0.00,0.00,0.00,0.00,29396,3231660,0.00
2014-10-06,0.00,0.00,0.00,0.00,34446,3157090,0.00
2014-10-07,0.00,0.00,0.00,0.00,35420,3412980,0.00
2014-10-08,0.00,0.00,0.00,0.00,28232,3219510,0.00
2014-10-09,0.00,0.00,0.00,0.00,11066,3316890,0.00
2014-10-10,0.00,0.00,0.00,0.00,14307,3185650,0.00
2014-10-11,0.00,0.00,0.00,0.00,34909,3147830,0.00
2014-10-12,0.00,0.00,0.00,0.00,76978,3215900,0.00
2014-10-13,0.00,0.00,0.00,0.00,44927,3096940,0.00
2014-10-14,0.00,0.00,0.00,0.00,32533,3209080,0.00
2014-10-15,0.00,0.00,0.00,0.00,46516,3288880,0.00
2014-10-16,0.00,0.00,0.00,0.00,39044,3055120,0.00
2014-10-17,0.00,0.00,0.00,0.00,22242,2943660,0.00
2014-10-18,0.00,0.00,0.00,0.00,27435,2875970,0.00
2014-10-19,0.00,0.00,0.00,0.00,18945,2941420,0.00
