date,open,high,low,close,volume,market cap,average
2017-08-22,0.24,0.26,0.23,0.25,7478420,-,0.24
2017-08-23,0.26,0.32,0.26,0.28,10956900,-,0.29
2017-08-24,0.28,0.30,0.24,0.25,6074270,-,0.27
2017-08-25,0.25,0.25,0.24,0.24,3718990,-,0.25
2017-08-26,0.24,0.24,0.23,0.23,3459540,-,0.24
2017-08-27,0.23,0.26,0.23,0.24,5238990,-,0.25
2017-08-28,0.24,0.25,0.23,0.23,4223700,-,0.24
2017-08-29,0.23,0.24,0.23,0.23,5284410,-,0.23
2017-08-30,0.23,0.23,0.15,0.20,11348900,-,0.19
2017-08-31,0.20,0.20,0.19,0.19,2681500,-,0.19
2017-09-01,0.19,0.19,0.17,0.17,3298480,-,0.18
2017-09-02,0.17,0.18,0.13,0.14,8672000,-,0.15
2017-09-03,0.14,0.14,0.10,0.11,5362440,-,0.12
2017-09-04,0.11,0.13,0.05,0.06,4568850,-,0.09
2017-09-05,0.06,0.06,0.04,0.06,1156340,-,0.05
2017-09-06,0.06,0.06,0.05,0.06,451,-,0.06
2017-09-07,0.06,0.07,0.06,0.07,3311,-,0.06
2017-09-08,0.07,0.10,0.06,0.08,1880,-,0.08
2017-09-09,0.08,0.08,0.05,0.05,258,-,0.06
2017-09-10,0.05,0.06,0.05,0.05,0,-,0.05
2017-09-11,0.05,0.06,0.05,0.05,0,-,0.05
2017-09-12,0.05,0.05,0.05,0.05,0,-,0.05
2017-09-13,0.05,0.08,0.05,0.08,659,-,0.07
2017-09-14,0.08,0.08,0.06,0.06,34979,-,0.07
2017-09-15,0.06,0.07,0.05,0.06,20442,-,0.06
2017-09-16,0.06,0.08,0.06,0.08,26582,-,0.07
2017-09-17,0.08,0.08,0.06,0.07,12558,-,0.07
2017-09-18,0.07,0.07,0.04,0.07,3685,-,0.06
2017-09-19,0.07,0.07,0.06,0.06,3406,-,0.06
2017-09-20,0.06,0.07,0.05,0.07,45507,-,0.06
2017-09-21,0.07,0.07,0.06,0.06,116188,-,0.07
2017-09-22,0.06,0.07,0.06,0.06,93727,-,0.06
2017-09-23,0.06,0.07,0.06,0.07,153867,-,0.07
2017-09-24,0.07,0.09,0.07,0.08,129066,-,0.08
2017-09-25,0.08,0.11,0.08,0.10,230925,-,0.09
2017-09-26,0.10,0.10,0.10,0.10,219629,-,0.10
2017-09-27,0.10,0.17,0.10,0.15,290530,-,0.13
2017-09-28,0.15,0.15,0.12,0.14,319853,-,0.14
2017-09-29,0.14,0.15,0.11,0.15,368233,-,0.13
2017-09-30,0.15,0.17,0.15,0.16,443594,-,0.16
2017-10-01,0.16,0.18,0.16,0.17,497711,-,0.17
2017-10-02,0.18,0.33,0.17,0.30,2614570,-,0.25
2017-10-03,0.31,0.39,0.27,0.38,3445270,85220300,0.33
2017-10-04,0.38,0.38,0.29,0.30,1342440,107026000,0.34
2017-10-05,0.31,0.34,0.26,0.33,833600,85435800,0.30
2017-10-06,0.33,0.33,0.30,0.31,534257,92916200,0.31
2017-10-07,0.31,0.32,0.27,0.31,699534,85198300,0.30
2017-10-08,0.31,0.31,0.25,0.26,609297,85173100,0.28
2017-10-09,0.25,0.31,0.24,0.28,818564,70850600,0.27
2017-10-10,0.28,0.28,0.24,0.26,537691,76900100,0.26
2017-10-11,0.26,0.27,0.23,0.24,459206,73737900,0.25
2017-10-12,0.24,0.25,0.20,0.22,683349,65767300,0.23
2017-10-13,0.22,0.24,0.18,0.20,616856,61651500,0.21
2017-10-14,0.20,0.25,0.20,0.24,398967,56124900,0.22
2017-10-15,0.24,0.24,0.21,0.22,393751,65557400,0.22
2017-10-16,0.22,0.23,0.21,0.22,414904,62200300,0.22
2017-10-17,0.22,0.23,0.21,0.23,450269,62319300,0.22
2017-10-18,0.23,0.30,0.22,0.29,1174310,65384400,0.26
2017-10-19,0.29,0.31,0.27,0.30,1253670,81272400,0.29
2017-10-20,0.30,0.30,0.24,0.25,812966,82306600,0.27
2017-10-21,0.25,0.27,0.24,0.25,344300,69274500,0.26
2017-10-22,0.25,0.26,0.23,0.25,457619,69596900,0.25
2017-10-23,0.25,0.25,0.22,0.24,569408,68643000,0.24
2017-10-24,0.24,0.26,0.23,0.24,537452,65791000,0.25
2017-10-25,0.24,0.25,0.22,0.23,508684,67406200,0.24
2017-10-26,0.23,0.24,0.22,0.22,504600,63131400,0.23
2017-10-27,0.22,0.22,0.19,0.21,625105,60481200,0.20
2017-10-28,0.21,0.21,0.19,0.19,366837,57266400,0.20
2017-10-29,0.19,0.22,0.19,0.21,373718,52986800,0.20
2017-10-30,0.21,0.22,0.20,0.22,405068,57166400,0.21
2017-10-31,0.22,0.22,0.21,0.21,456158,59941700,0.21
2017-11-01,0.22,0.22,0.18,0.18,553665,60019800,0.20
2017-11-02,0.19,0.19,0.16,0.18,733194,51435500,0.18
2017-11-03,0.18,0.20,0.18,0.20,548399,49146900,0.19
2017-11-04,0.20,0.23,0.20,0.22,543297,55527900,0.21
2017-11-05,0.22,0.22,0.21,0.21,503566,60482600,0.22
2017-11-06,0.21,0.25,0.21,0.23,1169720,57986700,0.23
2017-11-07,0.23,0.25,0.23,0.24,970278,64051900,0.24
2017-11-08,0.24,0.29,0.22,0.26,1631760,67508800,0.25
2017-11-09,0.26,0.29,0.25,0.27,1189380,72031300,0.27
2017-11-10,0.27,0.28,0.23,0.24,902045,74810200,0.25
2017-11-11,0.24,0.26,0.24,0.24,921946,66601300,0.25
2017-11-12,0.24,0.24,0.20,0.21,1862810,66156800,0.22
2017-11-13,0.21,0.23,0.21,0.22,778468,57434100,0.22
2017-11-14,0.22,0.24,0.22,0.24,1064470,61608100,0.23
2017-11-15,0.24,0.27,0.24,0.26,1783740,65594700,0.25
2017-11-16,0.27,0.33,0.26,0.28,4352160,73742100,0.29
2017-11-17,0.27,0.28,0.25,0.26,1477450,74129600,0.26
2017-11-18,0.26,0.27,0.25,0.27,909141,72134200,0.26
2017-11-19,0.26,0.27,0.24,0.25,1146710,73351200,0.26
