date,open,high,low,close,volume,market cap,average
2014-10-25,0.00,0.00,0.00,0.00,707,24519,0.00
2014-10-26,0.00,0.00,0.00,0.00,2234,24407,0.00
2014-10-27,0.00,0.00,0.00,0.00,2857,40807,0.00
2014-10-28,0.00,0.00,0.00,0.00,2185,37687,0.00
2014-10-29,0.00,0.00,0.00,0.00,1221,15542,0.00
2014-10-30,0.00,0.00,0.00,0.00,1116,26243,0.00
2014-10-31,0.00,0.00,0.00,0.00,1444,25912,0.00
2014-11-01,0.00,0.00,0.00,0.00,269,25137,0.00
2014-11-02,0.00,0.00,0.00,0.00,295,15363,0.00
2014-11-03,0.00,0.00,0.00,0.00,286,18086,0.00
2014-11-04,0.00,0.00,0.00,0.00,551,14550,0.00
2014-11-05,0.00,0.00,0.00,0.00,1592,17533,0.00
2014-11-06,0.00,0.00,0.00,0.00,203,14112,0.00
2014-11-07,0.00,0.00,0.00,0.00,101,13586,0.00
2014-11-08,0.00,0.00,0.00,0.00,1707,14844,0.00
2014-11-09,0.00,0.00,0.00,0.00,538,15560,0.00
2014-11-10,0.00,0.00,0.00,0.00,147,21373,0.00
2014-11-11,0.00,0.00,0.00,0.00,134,14845,0.00
2014-11-12,0.00,0.00,0.00,0.00,102,14467,0.00
2014-11-13,0.00,0.00,0.00,0.00,214,16056,0.00
2014-11-14,0.00,0.00,0.00,0.00,101,15645,0.00
2014-11-15,0.00,0.00,0.00,0.00,171,14638,0.00
2014-11-16,0.00,0.00,0.00,0.00,160,14941,0.00
2014-11-17,0.00,0.00,0.00,0.00,235,19468,0.00
2014-11-18,0.00,0.00,0.00,0.00,174,14399,0.00
2014-11-19,0.00,0.00,0.00,0.00,492,13905,0.00
2014-11-20,0.00,0.00,0.00,0.00,366,14183,0.00
2014-11-21,0.00,0.00,0.00,0.00,87,13303,0.00
2014-11-22,0.00,0.00,0.00,0.00,37,13210,0.00
2014-11-23,0.00,0.00,0.00,0.00,66,13396,0.00
2014-11-24,0.00,0.00,0.00,0.00,143,13125,0.00
2014-11-25,0.00,0.00,0.00,0.00,22,13889,0.00
2014-11-26,0.00,0.00,0.00,0.00,16,10796,0.00
2014-11-27,0.00,0.00,0.00,0.00,134,10050,0.00
2014-11-28,0.00,0.00,0.00,0.00,9,13703,0.00
2014-11-29,0.00,0.00,0.00,0.00,75,13954,0.00
2014-11-30,0.00,0.00,0.00,0.00,59,13562,0.00
2014-12-01,0.00,0.00,0.00,0.00,119,14043,0.00
2014-12-02,0.00,0.00,0.00,0.00,131,20423,0.00
2014-12-03,0.00,0.00,0.00,0.00,46,16538,0.00
2014-12-04,0.00,0.00,0.00,0.00,377,17764,0.00
2014-12-05,0.00,0.00,0.00,0.00,22,17331,0.00
2014-12-06,0.00,0.00,0.00,0.00,48,16933,0.00
2014-12-07,0.00,0.00,0.00,0.00,98,13909,0.00
2014-12-08,0.00,0.00,0.00,0.00,54,21186,0.00
2014-12-09,0.00,0.00,0.00,0.00,39,13649,0.00
2014-12-10,0.00,0.00,0.00,0.00,86,19998,0.00
2014-12-11,0.00,0.00,0.00,0.00,63,22219,0.00
2014-12-12,0.00,0.00,0.00,0.00,208,13203,0.00
2014-12-13,0.00,0.00,0.00,0.00,119,13093,0.00
2014-12-14,0.00,0.00,0.00,0.00,408,13585,0.00
2014-12-15,0.00,0.00,0.00,0.00,114,13288,0.00
2014-12-16,0.00,0.00,0.00,0.00,268,21813,0.00
2014-12-17,0.00,0.00,0.00,0.00,80,11243,0.00
2014-12-18,0.00,0.00,0.00,0.00,12,15878,0.00
2014-12-19,0.00,0.00,0.00,0.00,197,17720,0.00
2014-12-20,0.00,0.00,0.00,0.00,62,18017,0.00
2014-12-21,0.00,0.00,0.00,0.00,7,18425,0.00
2014-12-22,0.00,0.00,0.00,0.00,45,18695,0.00
2014-12-23,0.00,0.00,0.00,0.00,35,19006,0.00
2014-12-24,0.00,0.00,0.00,0.00,19,19189,0.00
2014-12-25,0.00,0.00,0.00,0.00,51,18536,0.00
2014-12-26,0.00,0.00,0.00,0.00,51,37267,0.00
2014-12-27,0.00,0.00,0.00,0.00,116,22585,0.00
2014-12-28,0.00,0.00,0.00,0.00,19,18687,0.00
